assay	mean_NN_tanimoto_sim	NN_label_concordance_overall	NN_label_concordance_actives	NN_label_concordance_inactives	5NN_active_frac_among_active_query	5NN_active_frac_among_inactive_query
CEETOX_H295R_TESTO	0.39761910842918846	0.7052631578947368	0.40601503759398494	0.7963386727688787	0.3142857142857143	0.19542334096109837
CEETOX_H295R_ANDR	0.39761910842918846	0.6771929824561403	0.43558282208588955	0.773955773955774	0.3570552147239264	0.24324324324324326
CEETOX_H295R_ESTRONE	0.39761910842918846	0.7736842105263158	0.29213483146067415	0.8627858627858628	0.298876404494382	0.12432432432432433
CEETOX_H295R_ESTRADIOL	0.39761910842918846	0.7947368421052632	0.2191780821917808	0.8792756539235412	0.20273972602739723	0.11348088531187124
CEETOX_H295R_11DCORT	0.39761910842918846	0.6912280701754386	0.48295454545454547	0.7842639593908629	0.3977272727272727	0.22436548223350256
CEETOX_H295R_CORTISOL	0.39761910842918846	0.7771929824561403	0.5041322314049587	0.8507795100222717	0.403305785123967	0.14654788418708242
CEETOX_H295R_DOC	0.39761910842918846	0.6771929824561403	0.45604395604395603	0.7809278350515464	0.41758241758241765	0.27422680412371137
CEETOX_H295R_CORTIC	0.39761910842918846	0.7491228070175439	0.3119266055045872	0.8524945770065075	0.28073394495412846	0.1635574837310195
CEETOX_H295R_PROG	0.39761910842918846	0.6298245614035087	0.4863636363636364	0.72	0.48	0.3417142857142857
CEETOX_H295R_OHPROG	0.39761910842918846	0.6157894736842106	0.525	0.6818181818181818	0.5216666666666666	0.3866666666666667
CEETOX_H295R_OHPREG	0.39761910842918846	0.7035087719298245	0.3918918918918919	0.8127962085308057	0.36621621621621625	0.1966824644549763
TOX21_ERa_LUC_VM7_Agonist	0.5573407714303472	0.8307265388496469	0.3191268191268191	0.9013781223083549	0.27879417879417884	0.1044214757393052
TOX21_AR_BLA_Agonist_ratio	0.557340771430347	0.9397073662966701	0.4503464203233256	0.9679786524349566	0.38521939953810624	0.03111407605070047
TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2	0.5573407714303472	0.8959384460141272	0.44704433497536944	0.9471613265879708	0.3263546798029557	0.051995503091624505
ATG_ERRg_TRANS	0.5243021770345674	0.9965110037573806	0.0	0.9983866630814735	0.08571428571428573	0.0018822264049475664
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Agonist	0.49405253339305244	0.9007874015748032	0.3076923076923077	0.9489216799091941	0.25314685314685315	0.05664018161180477
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Agonist	0.49405253339305244	0.8981627296587926	0.3419354838709677	0.9474285714285714	0.25935483870967746	0.059314285714285715
ATG_ERa_TRANS	0.5243021770345674	0.799248523886205	0.46142649199417757	0.8756169792694966	0.4029112081513829	0.13892727871010202
TOX21_AR_BLA_Antagonist_ratio	0.5573407714303472	0.8191220988900101	0.45335176226675883	0.9007869155994446	0.38175535590877685	0.1052306742786607
OT_ER_ERaERb_1440	0.486656478024643	0.8258458125346645	0.40711462450592883	0.8941935483870967	0.3762845849802371	0.10916129032258064
OT_AR_ARSRC1_0480	0.48665647802464296	0.8302828618968386	0.34701492537313433	0.9146579804560261	0.332089552238806	0.08820846905537459
CCTE_Deisenroth_AIME_384WELL_LUC_Shift	0.4192660921561367	0.7755376344086021	0.19230769230769232	0.8703125	0.19615384615384615	0.1309375
TOX21_ERa_BLA_Antagonist_ratio	0.5143582338050049	0.8651172442415439	0.3580858085808581	0.9380488962734393	0.2778877887788779	0.07709470685971992
OT_ERa_GFPERaERE_0120	0.48665647802464296	0.8879645036051026	0.3850574712643678	0.941682013505218	0.3045977011494253	0.060650705954573364
NVS_NR_mERa	0.4404574128520723	0.8249733191035219	0.39849624060150374	0.8955223880597015	0.3804511278195488	0.12064676616915423
ATG_GRE_CIS	0.5243021770345674	0.9490069779924852	0.14166666666666666	0.9758735440931781	0.13333333333333333	0.02329450915141431
ACEA_AR_agonist_80hr	0.4848977601594548	0.9301801801801802	0.19753086419753085	0.9651917404129794	0.18024691358024694	0.040117994100294985
TOX21_ERb_BLA_Agonist_ratio	0.5505911377288935	0.9758620689655172	0.3188405797101449	0.9881113212645231	0.30144927536231886	0.015563361253715213
ATG_ERE_CIS	0.5243021770345673	0.7624798711755234	0.4198675496688742	0.849545607539549	0.3766887417218543	0.16129249410972737
TOX21_GR_BLA_Antagonist_ratio	0.5573407714303472	0.9151109989909183	0.434850863422292	0.9570703607186943	0.33437990580847726	0.04586476477849403
TOX21_ERb_BLA_Antagonist_ratio	0.5505911377288935	0.8127320954907162	0.44452397995705084	0.8964675240110695	0.3712240515390121	0.10496500081393455
OT_ER_ERbERb_0480	0.48665647802464296	0.8657792567942318	0.4187192118226601	0.9225	0.39408866995073893	0.0815
OT_ER_ERaERa_0480	0.48665647802464296	0.915696062118691	0.45038167938931295	0.9521531100478469	0.3969465648854962	0.04820574162679425
