model	dr_method	representation	assay	z	mcc_avg	rank	average nn similarity
mlp	none	maccs	ACEA_AR_agonist_80hr	0.1465504412217185	0.1455102204869559	1.0	0.3116680441126109
tabpfn	mrmr	physchem	ACEA_AR_antagonist_80hr	0.5024638818367774	0.4640526638563877	1.0	0.3098479514571398
svm	mrmr	embeddings	ACEA_ER_80hr	0.13738649841992	0.1365285827784993	1.0	0.3483933482856088
rf	none	physchem	ATG_ERE_CIS	0.3258021239408833	0.3147437703067577	1.0	0.3395878717462678
svm	pca	physchem	ATG_ERRg_TRANS	0.2245579392608362	0.2208580111911335	1.0	0.33037558427174
rf	none	physchem	ATG_ERa_TRANS	0.4210034745332488	0.3977754684749087	1.0	0.35156725447152415
mlp	mrmr	morgan	ATG_GRE_CIS	0.1289841846515729	0.1282736131168548	1.0	0.33641280718862826
rf	MI	maccs	CCTE_Deisenroth_AIME_384WELL_LUC_Active	0.4450621272305725	0.4178316273189723	1.0	0.27336120848643886
svm	none	embeddings	CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	0.4305856822655577	0.4058106557094601	1.0	0.27449957351519194
svm	mrmr	embeddings	CCTE_Deisenroth_AIME_384WELL_LUC_Shift	0.2959424777074072	0.2875950500431805	1.0	0.2821054899532278
rf	MI	physchem	CEETOX_H295R_11DCORT	0.3687984866979122	0.3529403142852652	1.0	0.24979958492649076
svm	variance	embeddings	CEETOX_H295R_ANDR	0.3335101392646459	0.3216712579431611	1.0	0.26417580399721463
rf	mrmr	maccs	CEETOX_H295R_CORTIC	0.1941902883057483	0.1917855907499186	1.0	0.26415461208026897
cat_boost	MI	physchem	CEETOX_H295R_CORTISOL	0.3076808040892696	0.2983257702111861	1.0	0.26437182504842494
rf	none	maccs	CEETOX_H295R_DOC	0.2543695530830822	0.2490216900723983	1.0	0.26426306985842285
svm	variance	physchem	CEETOX_H295R_ESTRADIOL	0.328232254136573	0.3169314853367844	1.0	0.2592471176875795
svm	none	physchem	CEETOX_H295R_ESTRONE	0.3435303937683557	0.3306255313352736	1.0	0.263757479586581
rf	mrmr	embeddings	CEETOX_H295R_OHPREG	0.2832464640281249	0.275907086842074	1.0	0.2631885933529607
rf	variance	maccs	CEETOX_H295R_OHPROG	0.3390312742621006	0.3266122824439045	1.0	0.269723678838136
svm	none	embeddings	CEETOX_H295R_PROG	0.313707105632165	0.3038058229884549	1.0	0.2548883156696398
