assay	n_molecules	n_matched_pairs_total	n_activity_cliff_pairs	frac_mmp_that_are_cliffs	n_active	cliff_pairs_per_active	frac_actives_in_mmp_series	frac_actives_involved_in_cliff	frac_of_analog_actives_that_are_cliffy
CEETOX_H295R_TESTO	570	184	32	0.17391304347826086	133	0.24060150375939848	0.20300751879699247	0.12030075187969924	0.5925925925925926
CEETOX_H295R_ANDR	570	184	42	0.22826086956521738	163	0.25766871165644173	0.1901840490797546	0.1165644171779141	0.6129032258064516
CEETOX_H295R_ESTRONE	570	184	31	0.16847826086956522	89	0.34831460674157305	0.2808988764044944	0.1797752808988764	0.64
CEETOX_H295R_ESTRADIOL	570	184	30	0.16304347826086957	73	0.410958904109589	0.2328767123287671	0.1917808219178082	0.8235294117647058
CEETOX_H295R_11DCORT	570	184	34	0.18478260869565216	176	0.19318181818181818	0.1590909090909091	0.0625	0.39285714285714285
CEETOX_H295R_CORTISOL	570	184	26	0.14130434782608695	121	0.21487603305785125	0.1487603305785124	0.09090909090909091	0.6111111111111112
CEETOX_H295R_DOC	570	184	58	0.31521739130434784	182	0.31868131868131866	0.15934065934065933	0.12087912087912088	0.7586206896551724
CEETOX_H295R_CORTIC	570	184	46	0.25	109	0.42201834862385323	0.2018348623853211	0.1651376146788991	0.8181818181818182
CEETOX_H295R_PROG	570	184	68	0.3695652173913043	220	0.3090909090909091	0.18181818181818182	0.12727272727272726	0.7
CEETOX_H295R_OHPROG	570	184	72	0.391304347826087	240	0.3	0.225	0.11666666666666667	0.5185185185185185
CEETOX_H295R_OHPREG	570	184	26	0.14130434782608695	148	0.17567567567567569	0.18243243243243243	0.10810810810810811	0.5925925925925926
TOX21_ERa_LUC_VM7_Agonist	7927	20108	3387	0.16844042172269744	962	3.5207900207900207	0.37525987525987525	0.3004158004158004	0.8005540166204986
TOX21_AR_BLA_Agonist_ratio	7927	20108	667	0.033170877262780986	433	1.5404157043879907	0.2909930715935335	0.16166281755196305	0.5555555555555556
TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2	7927	20108	663	0.03297195146210463	812	0.8165024630541872	0.17733990147783252	0.13669950738916256	0.7708333333333334
ATG_ERRg_TRANS	3725	8608	2	0.00023234200743494423	7	0.2857142857142857	0.14285714285714285	0.14285714285714285	1.0
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Agonist	1904	2500	298	0.1192	142	2.0985915492957745	0.33098591549295775	0.2676056338028169	0.8085106382978723
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Agonist	1904	2500	298	0.1192	154	1.9350649350649352	0.3181818181818182	0.2597402597402597	0.8163265306122449
ATG_ERa_TRANS	3725	8608	1874	0.21770446096654275	687	2.727802037845706	0.4163027656477438	0.29985443959243085	0.7202797202797203
TOX21_AR_BLA_Antagonist_ratio	7927	20108	2363	0.11751541674955242	1447	1.6330338631651693	0.27297857636489287	0.1824464409122322	0.6683544303797468
OT_ER_ERaERb_1440	1802	2312	325	0.14057093425605535	253	1.284584980237154	0.3715415019762846	0.23715415019762845	0.6382978723404256
OT_AR_ARSRC1_0480	1802	2312	243	0.1051038062283737	268	0.9067164179104478	0.23880597014925373	0.15671641791044777	0.65625
CCTE_Deisenroth_AIME_384WELL_LUC_Shift	744	417	78	0.18705035971223022	104	0.75	0.2403846153846154	0.18269230769230768	0.76
TOX21_ERa_BLA_Antagonist_ratio	4819	7657	651	0.08502024291497975	606	1.0742574257425743	0.18646864686468648	0.13366336633663367	0.7168141592920354
OT_ERa_GFPERaERE_0120	1802	2312	135	0.05839100346020761	173	0.7803468208092486	0.26011560693641617	0.14450867052023122	0.5555555555555556
NVS_NR_mERa	936	480	108	0.225	132	0.8181818181818182	0.30303030303030304	0.23484848484848486	0.775
ATG_GRE_CIS	3725	8608	179	0.02079460966542751	120	1.4916666666666667	0.24166666666666667	0.225	0.9310344827586207
ACEA_AR_agonist_80hr	1775	2129	167	0.07844058243306717	81	2.0617283950617282	0.4074074074074074	0.35802469135802467	0.8787878787878788
TOX21_ERb_BLA_Agonist_ratio	7539	22069	230	0.010421858715845757	138	1.6666666666666667	0.2753623188405797	0.2028985507246377	0.7368421052631579
ATG_ERE_CIS	3725	8608	2027	0.23547862453531598	754	2.6883289124668437	0.3859416445623342	0.2838196286472148	0.7353951890034365
TOX21_GR_BLA_Antagonist_ratio	7927	20108	939	0.046697831708772626	637	1.4740973312401884	0.2794348508634223	0.17739403453689168	0.6348314606741573
TOX21_ERb_BLA_Antagonist_ratio	7539	22069	2552	0.11563731931668857	1396	1.828080229226361	0.23710601719197708	0.17263610315186245	0.7280966767371602
OT_ER_ERbERb_0480	1802	2312	286	0.12370242214532871	203	1.4088669950738917	0.39901477832512317	0.26108374384236455	0.654320987654321
OT_ER_ERaERa_0480	1802	2312	194	0.08391003460207612	131	1.4809160305343512	0.3969465648854962	0.2595419847328244	0.6538461538461539
OT_ER_ERbERb_1440	1802	2312	341	0.14749134948096887	225	1.5155555555555555	0.3688888888888889	0.2577777777777778	0.6987951807228916
OT_AR_ARELUC_AG_1440	1802	2312	270	0.11678200692041522	134	2.014925373134328	0.3358208955223881	0.291044776119403	0.8666666666666667
CCTE_Deisenroth_AIME_384WELL_LUC_Active	744	417	65	0.15587529976019185	102	0.6372549019607843	0.27450980392156865	0.18627450980392157	0.6785714285714286
TOX21_GR_BLA_Agonist_ratio	7927	20108	466	0.02317485577879451	461	1.0108459869848156	0.2039045553145336	0.1279826464208243	0.6276595744680851
OT_AR_ARSRC1_0960	1802	2312	287	0.12413494809688581	381	0.7532808398950132	0.2283464566929134	0.14173228346456693	0.6206896551724138
TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	7539	22069	1865	0.08450768045674929	1413	1.3198867657466384	0.24699221514508138	0.1740976645435244	0.7048710601719198
CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	744	417	70	0.16786570743405277	103	0.6796116504854369	0.30097087378640774	0.22330097087378642	0.7419354838709677
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	1904	2500	236	0.0944	133	1.7744360902255638	0.3082706766917293	0.2556390977443609	0.8292682926829268
ACEA_AR_antagonist_80hr	1780	2129	426	0.2000939408172851	586	0.726962457337884	0.22184300341296928	0.14846416382252559	0.6692307692307692
OT_ER_ERaERa_1440	1802	2312	181	0.07828719723183392	140	1.292857142857143	0.35	0.21428571428571427	0.6122448979591837
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	1904	2500	440	0.176	358	1.229050279329609	0.30726256983240224	0.20670391061452514	0.6727272727272727
TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	7927	20108	874	0.043465287447781976	941	0.9287991498405951	0.19659936238044634	0.15196599362380447	0.772972972972973
NVS_NR_hER	1153	722	124	0.17174515235457063	189	0.656084656084656	0.30158730158730157	0.17989417989417988	0.5964912280701754
ACEA_ER_80hr	3111	6850	621	0.09065693430656935	269	2.308550185873606	0.35687732342007433	0.2862453531598513	0.8020833333333334
NVS_NR_bER	1064	527	63	0.11954459203036052	87	0.7241379310344828	0.3218390804597701	0.20689655172413793	0.6428571428571429
OT_ER_ERaERb_0480	1802	2312	234	0.10121107266435986	207	1.1304347826086956	0.4106280193236715	0.2560386473429952	0.6235294117647059
TOX21_ERa_BLA_Agonist_ratio	7927	20108	619	0.03078376765466481	415	1.491566265060241	0.30843373493975906	0.20722891566265061	0.671875
TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	7539	22069	1091	0.04943586025646835	964	1.1317427385892116	0.2074688796680498	0.1628630705394191	0.785
OT_ERa_GFPERaERE_0480	1802	2312	204	0.08823529411764706	184	1.108695652173913	0.2608695652173913	0.16304347826086957	0.625
