model	dr_method	representation	assay	z	mcc_avg	rank
mlp	none	maccs	ACEA_AR_agonist_80hr	0.1465504412217185	0.14551022048695594	1.0
tabpfn	mrmr	physchem	ACEA_AR_antagonist_80hr	0.5024638818367774	0.4640526638563877	1.0
svm	mrmr	embeddings	ACEA_ER_80hr	0.13738649841992007	0.13652858277849933	1.0
rf	none	physchem	ATG_ERE_CIS	0.32580212394088337	0.3147437703067577	1.0
svm	pca	physchem	ATG_ERRg_TRANS	0.2245579392608362	0.22085801119113355	1.0
rf	none	physchem	ATG_ERa_TRANS	0.4210034745332488	0.39777546847490874	1.0
mlp	mrmr	morgan	ATG_GRE_CIS	0.1289841846515729	0.12827361311685484	1.0
rf	MI	maccs	CCTE_Deisenroth_AIME_384WELL_LUC_Active	0.4450621272305725	0.4178316273189723	1.0
svm	none	embeddings	CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	0.43058568226555777	0.4058106557094601	1.0
svm	mrmr	embeddings	CCTE_Deisenroth_AIME_384WELL_LUC_Shift	0.2959424777074072	0.2875950500431805	1.0
rf	MI	physchem	CEETOX_H295R_11DCORT	0.36879848669791226	0.3529403142852652	1.0
svm	variance	embeddings	CEETOX_H295R_ANDR	0.3335101392646459	0.32167125794316115	1.0
rf	mrmr	maccs	CEETOX_H295R_CORTIC	0.19419028830574836	0.19178559074991863	1.0
cat_boost	MI	physchem	CEETOX_H295R_CORTISOL	0.3076808040892696	0.2983257702111861	1.0
rf	none	maccs	CEETOX_H295R_DOC	0.2543695530830822	0.24902169007239836	1.0
svm	variance	physchem	CEETOX_H295R_ESTRADIOL	0.32823225413657303	0.3169314853367844	1.0
svm	none	physchem	CEETOX_H295R_ESTRONE	0.3435303937683557	0.3306255313352736	1.0
rf	mrmr	embeddings	CEETOX_H295R_OHPREG	0.2832464640281249	0.27590708684207405	1.0
rf	variance	maccs	CEETOX_H295R_OHPROG	0.3390312742621006	0.3266122824439045	1.0
svm	none	embeddings	CEETOX_H295R_PROG	0.31370710563216503	0.3038058229884549	1.0
svm	variance	maccs	CEETOX_H295R_TESTO	0.27175463884557416	0.2652567737781817	1.0
rf	none	morgan	NVS_NR_bER	0.6178986930532029	0.549663282833926	1.0
rf	none	morgan	NVS_NR_hER	0.4616271662972826	0.4314094681881589	1.0
rf	variance	morgan	NVS_NR_mERa	0.40277316437802624	0.38231928566380735	1.0
svm	mrmr	physchem	OT_AR_ARELUC_AG_1440	0.050891490866293985	0.05084760096687998	1.0
svm	variance	embeddings	OT_AR_ARSRC1_0480	0.3835457766206254	0.3657828054848028	1.0
rf	none	physchem	OT_AR_ARSRC1_0960	0.5158879242681851	0.4745200724677347	1.0
rf	mrmr	morgan	OT_ER_ERaERa_0480	0.37814276717280854	0.3610934808080373	1.0
rf	none	morgan	OT_ER_ERaERa_1440	0.3760463363497834	0.3592690220031662	1.0
tabpfn	mrmr	physchem	OT_ER_ERaERb_0480	0.506727384187752	0.46739141690899183	1.0
rf	variance	maccs	OT_ER_ERaERb_1440	0.3539584964667174	0.33988145625950456	1.0
rf	variance	physchem	OT_ER_ERbERb_0480	0.47666910749464275	0.443572048457567	1.0
cat_boost	none	physchem	OT_ER_ERbERb_1440	0.43969248067356875	0.4133895075272038	1.0
svm	mrmr	embeddings	OT_ERa_GFPERaERE_0120	0.25139621126549716	0.2462306722202913	1.0
rf	none	morgan	OT_ERa_GFPERaERE_0480	0.33355043466771783	0.321707383415968	1.0
svm	MI	physchem	TOX21_AR_BLA_Agonist_ratio	0.13228305828119508	0.13151682252825703	1.0
rf	none	physchem	TOX21_AR_BLA_Antagonist_ratio	0.38147742304236765	0.3639898375903632	1.0
rf	none	physchem	TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	0.5296338795425386	0.4851011764945479	1.0
rf	none	physchem	TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	0.3317972873994294	0.32013479391717203	1.0
rf	none	physchem	TOX21_ERa_BLA_Agonist_ratio	0.195639242501494	0.19318086122243666	1.0
rf	none	physchem	TOX21_ERa_BLA_Antagonist_ratio	0.3517761179505932	0.3379497550369334	1.0
rf	none	physchem	TOX21_ERa_LUC_VM7_Agonist	0.24409429112264042	0.23935923173657833	1.0
rf	none	physchem	TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	0.3796617834347188	0.3624137096451998	1.0
rf	MI	physchem	TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2	0.33204406361473415	0.3203562614538318	1.0
svm	variance	maccs	TOX21_ERb_BLA_Agonist_ratio	0.08354094339897486	0.08334713784954254	1.0
rf	none	physchem	TOX21_ERb_BLA_Antagonist_ratio	0.44242102930937877	0.41564921761660234	1.0
rf	none	physchem	TOX21_GR_BLA_Agonist_ratio	0.28477259749239964	0.2773164492869469	1.0
rf	none	maccs	TOX21_GR_BLA_Antagonist_ratio	0.24342126904950906	0.238724666881813	1.0
svm	MI	embeddings	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Agonist	0.2907857123971972	0.2828578218955809	1.0
svm	MI	physchem	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	0.36223614801622606	0.34718217170576526	1.0
svm	variance	embeddings	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Agonist	0.18385880007197725	0.1818147105026125	1.0
svm	MI	physchem	UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	0.19233472506512803	0.18999764407846312	1.0
