assay	mcc_avg
CEETOX_H295R_TESTO	0.19742209432943106
CEETOX_H295R_ANDR	0.2095385960416635
CEETOX_H295R_ESTRONE	0.1528512920115424
CEETOX_H295R_ESTRADIOL	0.09678355162538183
CEETOX_H295R_11DCORT	0.26984633140062103
CEETOX_H295R_CORTISOL	0.3477924126929441
CEETOX_H295R_DOC	0.242315134689127
CEETOX_H295R_CORTIC	0.16869354569066794
CEETOX_H295R_PROG	0.20934142295325112
CEETOX_H295R_OHPROG	0.2079914428138113
CEETOX_H295R_OHPREG	0.2100271538010179
TOX21_ERa_LUC_VM7_Agonist	0.21764800689640018
TOX21_AR_BLA_Agonist_ratio	0.4179997616444799
TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2	0.411106069842355
ATG_ERRg_TRANS	-0.0017428373690989828
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Agonist	0.2657909573584007
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Agonist	0.29972762491349136
ATG_ERa_TRANS	0.3354993604049537
TOX21_AR_BLA_Antagonist_ratio	0.369556230112101
OT_ER_ERaERb_1440	0.2945700547608404
OT_AR_ARSRC1_0480	0.28214280603571884
CCTE_Deisenroth_AIME_384WELL_LUC_Shift	0.06287433816065682
TOX21_ERa_BLA_Antagonist_ratio	0.32848270393694984
OT_ERa_GFPERaERE_0120	0.3388084139827527
NVS_NR_mERa	0.28588526633183975
ATG_GRE_CIS	0.12597201089268356
ACEA_AR_agonist_80hr	0.1687862882294576
TOX21_ERb_BLA_Agonist_ratio	0.31372177384553857
ATG_ERE_CIS	0.2686498730247587
TOX21_GR_BLA_Antagonist_ratio	0.4059200209938522
TOX21_ERb_BLA_Antagonist_ratio	0.35568478407461335
OT_ER_ERbERb_0480	0.3368705165388341
OT_ER_ERaERa_0480	0.3916903523899918
OT_ER_ERbERb_1440	0.2822880459411623
OT_AR_ARELUC_AG_1440	0.06728015837337567
CCTE_Deisenroth_AIME_384WELL_LUC_Active	0.27095511608636513
TOX21_GR_BLA_Agonist_ratio	0.3811563197378926
OT_AR_ARSRC1_0960	0.3473355086791893
TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	0.413060132085789
CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	0.20128122009487776
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	0.23324318685506445
ACEA_AR_antagonist_80hr	0.2932842917145986
OT_ER_ERaERa_1440	0.3176178423948499
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	0.24456881755689336
TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	0.39880991757830847
NVS_NR_hER	0.3295346338679243
ACEA_ER_80hr	0.2317289694444529
NVS_NR_bER	0.3864203523510199
OT_ER_ERaERb_0480	0.3984023184125267
TOX21_ERa_BLA_Agonist_ratio	0.3418835165910586
TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	0.39751254122882324
OT_ERa_GFPERaERE_0480	0.2565006879596979
