compound	response	smiles
DTXSID0020022	0	O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
DTXSID0020319	0	N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
DTXSID0020446	0	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
DTXSID0020442	0	O=C(O)COc1ccc(Cl)cc1Cl
DTXSID0020573	1	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID0020814	0	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
DTXSID0020943	1	COc1ccc([N+](=O)[O-])cc1N
DTXSID0021094	1	Nc1ccc(Oc2ccc(N)cc2)cc1
DTXSID0021125	1	O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
DTXSID0021337	0	c1ccc2[nH]c(-c3cscn3)nc2c1
DTXSID0021385	0	O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
DTXSID0021834	0	O=[N+]([O-])c1ccc(O)cc1
DTXSID0021963	0	CCN(CC)c1ccc(C=O)cc1
DTXSID0022012	0	COc1cccc(O)c1
DTXSID0023296	0	CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
DTXSID0023581	0	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DTXSID0023826	0	CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
DTXSID0023907	0	c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
DTXSID0023951	0	CC1=C(C(=O)Nc2ccccc2)SCCO1
DTXSID0024052	0	CC1=C(C)S(=O)(=O)CCS1(=O)=O
DTXSID0024000	1	COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
DTXSID0024266	1	CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1
DTXSID0026252	0	c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
DTXSID0027270	0	CCCCCCCCCCCCCCCO
DTXSID0027721	0	CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1
DTXSID0029262	0	CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
DTXSID0032316	0	Cc1cc(O)cc(C)c1Cl
DTXSID0032493	1	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1
DTXSID0032601	0	CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
DTXSID0032572	0	C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
DTXSID0032655	0	CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
DTXSID0034192	1	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID0034695	0	S=C([S-])NCCNC(=S)[S-].S=C([S-])NCCNC(=S)[S-].[Mn+2].[Zn+2]
DTXSID0034855	0	CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1
DTXSID0037495	0	CCNc1nc(N)nc(Cl)n1
DTXSID0037730	0	O=C(O)c1cc(O)c2ccccc2c1O
DTXSID0038700	0	COc1cc([N+](=O)[O-])ccc1N
DTXSID0038338	0	CC1(C)[C@H](C(=O)OCc2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl
DTXSID0041274	0	O=C1C=CC(=O)N1c1ccccc1
DTXSID0042169	0	CCCCCCCCCCCCCOP(=O)(O)O
DTXSID0044571	0	CC(C)c1cccc(O)c1
DTXSID0046488	1	COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
DTXSID0047246	1	CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O.CS(=O)(=O)O
DTXSID0047248	0	Cc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1ccncc1)C(=O)N3CC2
DTXSID0047296	0	O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21
DTXSID0047294	0	CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12
DTXSID0047325	0	Cc1nc(-c2ccc3c(c2)CCN(CCC2CCC(NC(=O)/C=C/c4ccc(F)cc4)CC2)CC3)no1.Cl
DTXSID0047749	0	CC1CCCCC1
DTXSID0048507	0	Cl.Cn1c(=O)cc(Oc2ccc(F)cc2F)c2cnc(NCC(C)(C)O)nc21
DTXSID0051447	0	COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
DTXSID0051493	0	Nc1cccnc1N
DTXSID0051574	0	CCCCCCS
DTXSID0051732	0	Oc1ccc2c(c1)CCC2
DTXSID0051782	0	O=c1[nH]cccc1O
DTXSID0051944	0	C=CC(=O)N(C)C
DTXSID0051996	1	CSc1ccc(O)cc1C
DTXSID1020069	1	Cc1cc(N=Nc2ccccc2C)ccc1N
DTXSID1020350	1	COc1ccc(C)cc1N
DTXSID1020221	0	CC(C)(C)c1ccc(O)cc1
DTXSID1020433	0	Cl.Cl.Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl
DTXSID1020485	0	COc1cc(-c2ccc(N)c(OC)c2)ccc1N.Cl.Cl
DTXSID1020510	0	Cc1c2ccccc2c(C)c2c1ccc1ccccc12
DTXSID1020439	0	Oc1ccc(Cl)cc1Cl
DTXSID1020807	0	Sc1nc2ccccc2s1
DTXSID1020855	0	COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
DTXSID1020930	1	CN1CCC[C@H]1c1cccnc1
DTXSID1021166	0	CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
DTXSID1021322	0	CCN(CC)C(=S)SSC(=S)N(CC)CC
DTXSID1021952	0	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
DTXSID1022396	1	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
DTXSID1022421	1	COc1ccc2[nH]cc(CCNC(C)=O)c2c1
DTXSID1022267	0	CNC(=O)ON=C(C)SC
DTXSID1022394	0	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
DTXSID1023817	0	C(=NC1CCCCC1)=NC1CCCCC1
DTXSID1023869	0	CCNc1nc(NC(C)C)nc(SC)n1
DTXSID1023998	0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
DTXSID1023990	0	CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
DTXSID1024091	0	CCCN(CCC)C(=O)SCC
DTXSID1024255	0	COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
DTXSID1024259	1	CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
DTXSID1024338	0	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
DTXSID1024598	0	O=C(OCc1ccccc1)c1ccccc1O
DTXSID1025485	0	CC(C)Nc1ccc(Nc2ccccc2)cc1
