TOX21_ERb_BLA_Agonist_ratio	y
ATG_ERE_CIS	y
TOX21_GR_BLA_Antagonist_ratio	y
TOX21_ERb_BLA_Antagonist_ratio	y
OT_ER_ERbERb_0480	y
OT_ER_ERaERa_0480	y
OT_ER_ERbERb_1440	y
OT_AR_ARELUC_AG_1440	y
CCTE_Deisenroth_AIME_384WELL_LUC_Active	y
TOX21_GR_BLA_Agonist_ratio	y
OT_AR_ARSRC1_0960	y
TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881	y
CCTE_Deisenroth_AIME_384WELL_LUC_Inactive	y
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Cytoplasm_Ratio_Antagonist	y
ACEA_AR_antagonist_80hr	y
OT_ER_ERaERa_1440	y
UPITT_HCI_U2OS_AR_TIF2_Nucleoli_Antagonist	y
TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881	y
NVS_NR_hER	y
ACEA_ER_80hr	y
NVS_NR_bER	y
OT_ER_ERaERb_0480	y
TOX21_ERa_BLA_Agonist_ratio	y
TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2	
