compound	response
DTXSID0020498	0
DTXSID0021254	0
DTXSID0021331	1
DTXSID0021460	1
DTXSID0023878	0
DTXSID0032651	1
DTXSID0040707	1
DTXSID0042167	0
DTXSID0052621	0
DTXSID1021956	0
DTXSID1023314	1
DTXSID1026035	0
DTXSID1026241	0
DTXSID1032488	1
DTXSID1032642	0
DTXSID1041421	0
DTXSID1041508	1
DTXSID1047281	0
DTXSID1047497	1
DTXSID2021781	0
DTXSID2025680	0
DTXSID2029325	0
DTXSID2032390	1
DTXSID2040731	0
DTXSID2047307	0
DTXSID3020205	0
DTXSID3020465	1
DTXSID3022455	0
DTXSID3025178	0
DTXSID3026566	0
DTXSID3026728	0
DTXSID3031860	0
DTXSID3038808	1
DTXSID3042130	1
DTXSID40196931	0
DTXSID4020618	1
DTXSID4023202	0
DTXSID4025296	0
DTXSID4040002	0
DTXSID4052269	1
DTXSID5020368	1
DTXSID5020607	0
DTXSID5025021	1
DTXSID5025607	0
DTXSID5031131	0
DTXSID5041726	0
DTXSID5044233	1
DTXSID5047538	0
DTXSID6021240	0
DTXSID6021456	0
DTXSID6023652	1
DTXSID6024123	1
DTXSID6024838	0
DTXSID6025068	0
DTXSID6025272	1
DTXSID6042074	1
DTXSID6042282	0
DTXSID6051778	1
DTXSID7020392	0
DTXSID7020683	0
DTXSID7021106	0
DTXSID7021780	0
DTXSID7027625	0
DTXSID7042273	0
DTXSID7047271	1
DTXSID7051890	1
DTXSID7052573	1
DTXSID8022589	0
DTXSID8023927	0
DTXSID8024105	0
DTXSID8027402	0
DTXSID8037752	0
DTXSID8040779	0
DTXSID8044593	0
DTXSID8047391	1
DTXSID9021136	1
DTXSID9022522	0
DTXSID9027441	1
DTXSID9032610	1
DTXSID9034286	0
DTXSID9040001	0
DTXSID9043938	0
DTXSID9048516	1
