compound	response
DTXSID0020573	0
DTXSID0020652	0
DTXSID0020814	0
DTXSID0023901	0
DTXSID0024397	0
DTXSID0025527	1
DTXSID0032572	0
DTXSID0032605	0
DTXSID0034192	1
DTXSID0034695	0
DTXSID0034803	0
DTXSID0042038	0
DTXSID0047375	0
DTXSID0048507	0
DTXSID1022265	0
DTXSID1023998	0
DTXSID1024091	0
DTXSID1032642	0
DTXSID1033664	1
DTXSID1047312	0
DTXSID2020634	0
DTXSID2020894	0
DTXSID2021286	0
DTXSID2021864	0
DTXSID2022381	0
DTXSID2022880	0
DTXSID2024242	0
DTXSID2032552	0
DTXSID2034673	0
DTXSID2038732	1
DTXSID2045232	0
DTXSID2047355	0
DTXSID3020336	0
DTXSID3020332	0
DTXSID3022370	1
DTXSID3025091	0
DTXSID3026302	0
DTXSID3027403	0
DTXSID3032547	0
DTXSID3032628	0
DTXSID3036496	1
DTXSID3037094	0
DTXSID3040722	0
DTXSID3047348	0
DTXSID3047342	0
DTXSID3047429	1
DTXSID4020161	0
DTXSID4020822	0
DTXSID4021185	1
DTXSID4021478	0
DTXSID4022442	0
DTXSID4022367	0
DTXSID4031980	0
DTXSID4038922	0
DTXSID4042121	0
DTXSID5020576	1
DTXSID5021386	0
DTXSID5023322	1
DTXSID5023900	0
DTXSID5025021	0
DTXSID5032498	0
DTXSID5032525	0
DTXSID5048184	0
DTXSID6020515	0
DTXSID6020690	0
DTXSID6021957	0
DTXSID6022056	0
DTXSID6022474	1
DTXSID6024882	0
DTXSID6025068	0
DTXSID6025355	0
DTXSID6034186	1
DTXSID6034265	0
DTXSID6034928	0
DTXSID6035152	0
DTXSID6040747	1
DTXSID6047288	0
DTXSID6047311	0
DTXSID7020182	0
DTXSID7020479	0
DTXSID7021100	0
DTXSID7021948	0
DTXSID7023936	0
DTXSID7029879	0
DTXSID7032553	0
DTXSID7032470	0
DTXSID7034250	0
DTXSID7034753	0
DTXSID7037715	0
DTXSID7037717	1
DTXSID7043908	0
DTXSID8020337	0
DTXSID8020913	0
DTXSID8022377	1
DTXSID8023890	0
DTXSID8024101	0
DTXSID8024284	0
DTXSID8024523	1
DTXSID8032417	0
DTXSID8032673	0
DTXSID8034586	0
DTXSID8034877	0
DTXSID8047341	0
DTXSID8047890	0
DTXSID9022360	0
DTXSID9022364	1
DTXSID9023380	1
DTXSID9024304	0
DTXSID9024431	1
DTXSID9026261	0
DTXSID9032589	0
DTXSID9036515	1
DTXSID9047338	0
DTXSID9047540	0
