compound	response
DTXSID0020319	1
DTXSID0020442	0
DTXSID0020573	1
DTXSID0020814	0
DTXSID0021125	0
DTXSID0021123	0
DTXSID0021206	0
DTXSID0021385	0
DTXSID0021414	0
DTXSID0021464	1
DTXSID0022018	0
DTXSID0023581	1
DTXSID0023826	0
DTXSID0024266	1
DTXSID0025234	1
DTXSID0025527	1
DTXSID0026915	0
DTXSID0027773	1
DTXSID0032493	0
DTXSID0032520	0
DTXSID0032601	1
DTXSID0034192	1
DTXSID0034695	1
DTXSID0037495	0
DTXSID0038881	1
DTXSID0037730	1
DTXSID0039223	0
DTXSID0038887	1
DTXSID0042169	1
DTXSID0042400	1
DTXSID0044367	1
DTXSID0047248	1
DTXSID0047377	1
DTXSID0047375	1
DTXSID0047371	1
DTXSID0047296	0
DTXSID0047327	0
DTXSID0047379	1
DTXSID0047741	1
DTXSID0047957	0
DTXSID0048189	1
DTXSID0048185	0
DTXSID0048507	1
DTXSID1020510	1
DTXSID1020699	1
DTXSID1020560	1
DTXSID1020770	1
DTXSID1020807	0
DTXSID1020855	0
DTXSID1021031	0
DTXSID1021243	1
DTXSID1021166	0
DTXSID1021409	1
DTXSID1022003	0
DTXSID1021952	0
DTXSID1022267	0
DTXSID1023998	0
DTXSID1024091	1
DTXSID1025148	0
DTXSID1025485	0
DTXSID1025805	1
DTXSID1026031	1
DTXSID1026081	1
DTXSID1027134	1
DTXSID1032303	0
DTXSID1032519	0
DTXSID1032484	1
DTXSID1032640	0
DTXSID1033664	1
DTXSID1034187	0
DTXSID1034181	1
DTXSID1034212	0
DTXSID1034260	1
DTXSID1038298	1
DTXSID1040794	0
DTXSID1040742	1
DTXSID1044487	0
DTXSID1047281	0
DTXSID1047362	1
DTXSID1047497	0
DTXSID1048178	0
DTXSID2020189	1
DTXSID2020420	0
DTXSID2020921	0
DTXSID2021105	0
DTXSID2021151	0
DTXSID2021781	0
DTXSID2021866	0
DTXSID2022381	1
DTXSID2022678	0
DTXSID2022880	1
DTXSID2023519	0
DTXSID2023569	0
DTXSID2024163	1
DTXSID2025680	1
DTXSID2025842	1
DTXSID2027204	0
DTXSID2027414	0
DTXSID2029298	1
DTXSID2031089	1
DTXSID2029612	0
DTXSID2032348	1
DTXSID2032390	1
DTXSID2032342	0
DTXSID2032398	1
DTXSID2032500	1
DTXSID2036112	1
DTXSID2038732	0
DTXSID2037502	0
DTXSID2037714	0
DTXSID2040361	0
DTXSID2040733	1
DTXSID2041709	1
DTXSID2041759	1
DTXSID2042062	0
DTXSID2042191	0
DTXSID2044428	0
DTXSID2044713	1
DTXSID2045232	1
DTXSID2047357	1
DTXSID2047351	0
DTXSID2047353	1
DTXSID3020122	0
DTXSID3020209	0
DTXSID3020336	0
DTXSID3020465	1
DTXSID3020673	1
DTXSID3020916	1
DTXSID3021770	1
DTXSID3022370	1
DTXSID3022536	1
DTXSID3022455	0
DTXSID3022667	1
DTXSID3023556	0
DTXSID3023897	1
DTXSID3023899	0
DTXSID3024154	0
DTXSID3024235	1
DTXSID3024869	0
DTXSID3025209	1
DTXSID3026564	0
DTXSID3027039	1
DTXSID3027403	1
DTXSID3029154	0
DTXSID3031860	0
DTXSID3032464	1
DTXSID3031864	1
DTXSID3032549	0
DTXSID3034402	1
DTXSID3036496	1
DTXSID3037208	1
DTXSID3037094	1
DTXSID3040776	1
DTXSID3041611	0
DTXSID3041530	1
DTXSID3047261	0
DTXSID3047429	1
DTXSID4020450	1
DTXSID4020791	0
DTXSID4020822	0
DTXSID4021135	1
DTXSID4021185	1
DTXSID4021395	0
DTXSID4021268	0
DTXSID4021478	1
DTXSID4022288	0
DTXSID4022361	0
DTXSID4022442	1
DTXSID4022525	1
DTXSID4022448	0
DTXSID4022523	1
DTXSID4022367	0
DTXSID4022369	0
DTXSID4024270	0
DTXSID4024276	1
DTXSID4024436	0
DTXSID4025080	0
DTXSID4026216	0
DTXSID4027076	1
DTXSID4027656	1
DTXSID4031980	1
DTXSID4032372	1
DTXSID4032611	0
DTXSID4032376	0
DTXSID4032613	1
DTXSID4032667	1
DTXSID4035708	1
DTXSID4034653	1
DTXSID4040268	1
DTXSID4040002	0
DTXSID4040713	1
DTXSID4041527	0
DTXSID4041492	0
DTXSID4042096	0
DTXSID4042416	1
DTXSID4042418	1
DTXSID4047252	0
DTXSID4047331	0
DTXSID4047258	0
DTXSID4047387	0
DTXSID4047389	0
DTXSID4047337	1
DTXSID4047381	1
DTXSID4048513	1
DTXSID4048511	1
DTXSID4048519	0
DTXSID5020154	1
DTXSID5020233	1
DTXSID5020449	0
DTXSID5020601	0
DTXSID5020366	1
DTXSID5020576	1
DTXSID5020607	1
DTXSID5020653	1
DTXSID5020811	1
DTXSID5020819	0
DTXSID5020867	0
DTXSID5022437	1
DTXSID5022439	1
DTXSID5023322	1
DTXSID5024344	0
DTXSID5027061	0
DTXSID5027932	1
DTXSID5029217	0
DTXSID5032442	0
DTXSID5032498	0
DTXSID5031131	0
DTXSID5032365	0
DTXSID5033836	0
DTXSID5035589	0
DTXSID5035957	1
DTXSID5034981	1
DTXSID5038888	1
DTXSID5040704	1
DTXSID5041306	1
DTXSID5041560	1
DTXSID5041726	1
DTXSID5041728	1
DTXSID5042243	1
DTXSID5044526	1
DTXSID5044865	1
DTXSID5047320	1
DTXSID5047451	1
DTXSID5048184	1
DTXSID5048186	1
DTXSID6020068	0
DTXSID6020197	1
DTXSID6020278	1
DTXSID6020511	1
DTXSID6020690	1
DTXSID6021086	0
DTXSID6021248	1
DTXSID6021824	1
DTXSID6021957	0
DTXSID6021959	0
DTXSID6022474	1
DTXSID6023864	0
DTXSID6023810	1
DTXSID6024175	0
DTXSID6024204	0
DTXSID6024177	0
DTXSID6024624	0
DTXSID6024836	0
DTXSID6024882	0
DTXSID6024913	0
DTXSID6025226	1
DTXSID6027923	1
DTXSID6032358	0
DTXSID6032514	1
DTXSID6032562	1
DTXSID6034186	1
DTXSID6036467	1
DTXSID6040747	1
DTXSID6041682	1
DTXSID6043915	1
DTXSID6047288	0
DTXSID6047315	1
DTXSID6047367	1
DTXSID6047525	0
DTXSID6047369	0
DTXSID6048175	1
DTXSID7020182	1
DTXSID7020267	0
DTXSID7020479	0
DTXSID7020843	1
DTXSID7020920	0
DTXSID7020970	0
DTXSID7021106	0
DTXSID7021233	1
DTXSID7021100	1
DTXSID7021655	1
DTXSID7021996	1
DTXSID7022253	0
DTXSID7023645	1
DTXSID7024035	0
DTXSID7024245	0
DTXSID7024160	0
DTXSID7025429	1
DTXSID7025895	1
DTXSID7026314	1
DTXSID7027887	1
DTXSID7029871	1
DTXSID7031458	1
DTXSID7032345	1
DTXSID7034250	1
DTXSID7032638	1
DTXSID7034545	1
DTXSID7034674	1
DTXSID7037185	1
DTXSID7037717	1
DTXSID7041097	0
DTXSID7041708	1
DTXSID7041461	1
DTXSID7041629	1
DTXSID7043908	1
DTXSID7044718	1
DTXSID7047279	0
DTXSID7047304	1
DTXSID7047358	1
DTXSID8020337	1
DTXSID8020464	0
DTXSID8021224	1
DTXSID8021771	0
DTXSID8022325	1
DTXSID8022292	0
DTXSID8022377	1
DTXSID8022408	1
DTXSID8022959	1
DTXSID8023846	1
DTXSID8023216	1
DTXSID8024107	0
DTXSID8024109	0
DTXSID8024234	0
DTXSID8024153	0
DTXSID8024151	1
DTXSID8024280	1
DTXSID8024315	0
DTXSID8024238	1
DTXSID8024523	1
DTXSID8027034	0
DTXSID8027292	1
DTXSID8029105	0
DTXSID8032417	0
DTXSID8031865	0
DTXSID8034665	0
DTXSID8034956	1
DTXSID8035180	0
DTXSID8037706	1
DTXSID8044593	0
DTXSID8047268	0
DTXSID8047349	1
DTXSID8047347	0
DTXSID8047553	1
DTXSID8047890	1
DTXSID9020112	0
DTXSID9020160	0
DTXSID9020247	1
DTXSID9020243	0
DTXSID9020299	0
DTXSID9020409	0
DTXSID9020453	0
DTXSID9020407	0
DTXSID9020582	1
DTXSID9020827	0
DTXSID9020794	1
DTXSID9021130	1
DTXSID9022360	1
DTXSID9022364	1
DTXSID9022366	0
DTXSID9023380	1
DTXSID9024431	0
DTXSID9024691	0
DTXSID9025403	0
DTXSID9026132	0
DTXSID9026261	1
DTXSID9026974	0
DTXSID9032329	1
DTXSID9032531	1
DTXSID9032537	1
DTXSID9032589	1
DTXSID9034286	0
DTXSID9034492	0
DTXSID9034573	0
DTXSID9035204	1
DTXSID9034997	1
DTXSID9036515	1
DTXSID9040001	1
DTXSID9041289	1
DTXSID9041520	0
DTXSID9044532	1
DTXSID9044538	1
DTXSID9047049	0
DTXSID9047257	0
DTXSID9047540	0
DTXSID9047592	1
DTXSID9047594	1
DTXSID9047598	1
DTXSID9048510	0
