compound	response	smiles
DTXSID0020076	0	Nc1nc[nH]n1
DTXSID0020022	0	O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
DTXSID0020232	0	Cn1c(=O)c2c(ncn2C)n(C)c1=O
DTXSID0020107	0	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
DTXSID0020151	0	CC(=O)OCc1ccccc1
DTXSID0020311	0	CN(C)C(=O)Nc1ccc(Cl)cc1
DTXSID0020494	0	COP(C)(=O)OC
DTXSID0020286	0	Cc1ccc(N)cc1Cl
DTXSID0020440	0	CC(Oc1ccc(Cl)cc1Cl)C(=O)O
DTXSID0020529	0	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
DTXSID0020604	0	C1CC2OC2CC1C1CO1
DTXSID0020943	0	COc1ccc([N+](=O)[O-])cc1N
DTXSID0021094	1	Nc1ccc(Oc2ccc(N)cc2)cc1
DTXSID0021256	0	O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
DTXSID0021337	1	c1ccc2[nH]c(-c3cscn3)nc2c1
DTXSID0021464	0	CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
DTXSID0021888	0	CCCC(C)=O
DTXSID0021832	0	Cc1ccc(N(C)C)cc1
DTXSID0021961	1	O=C(c1ccccc1)c1ccccc1
DTXSID0021969	0	COc1cc(C=O)ccc1O
DTXSID0022018	0	CCOP(=S)(OCC)SCCSCC
DTXSID0022436	1	CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1
DTXSID0023745	0	O=C[C@H](O)[C@@H](O)[C@H](O)CO
DTXSID0023826	0	CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
DTXSID0023901	0	CC(C)N1C(=O)c2ccccc2NS1(=O)=O
DTXSID0023907	0	c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
DTXSID0023951	0	CC1=C(C(=O)Nc2ccccc2)SCCO1
DTXSID0024052	0	CC1=C(C)S(=O)(=O)CCS1(=O)=O
DTXSID0024216	0	Clc1cccc(C(Cl)(Cl)Cl)n1
DTXSID0025523	1	Cc1occc(=O)c1O
DTXSID0025864	0	CCOc1ccc(N)cc1
DTXSID0026171	0	*C.c1ccc2[nH]nnc2c1
DTXSID0026252	1	c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
DTXSID0026880	0	CC(=O)OCCOC(C)=O
DTXSID0026838	0	CCCCCCCCCCCCCC(=O)OC(C)C
DTXSID0027191	0	C1=CCC=C1
DTXSID0026915	0	CCCCCCCCCCCO
DTXSID0027640	0	O=C(O)CC(O)C(=O)O
DTXSID0028038	0	CCCCNC(=O)OCC#CI
DTXSID0027983	0	*C.*C.COCCOCCO
DTXSID0029559	0	O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
DTXSID0032497	0	O=C(O)COc1nc(Cl)c(Cl)cc1Cl
DTXSID0032601	0	CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
DTXSID0032572	0	C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
DTXSID0034223	0	CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl
DTXSID0034227	0	CCC(C)OC(=O)N1CCCCC1CCO
DTXSID0034518	0	CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
DTXSID0034855	0	CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1
DTXSID0035160	0	CC(=O)/C=C/C1C(C)=CCCC1(C)C
DTXSID0034930	0	CCOP(=O)(SC(C)CC)N1CCSC1=O
