compound	response
DTXSID0020319	0
DTXSID0020442	0
DTXSID0020498	0
DTXSID0020573	1
DTXSID0020814	1
DTXSID0021256	1
DTXSID0021385	0
DTXSID0021543	1
DTXSID0021414	0
DTXSID0022018	0
DTXSID0023826	0
DTXSID0024266	0
DTXSID0025527	1
DTXSID0032493	1
DTXSID0032520	0
DTXSID0032572	1
DTXSID0032601	1
DTXSID0032655	1
DTXSID0034192	1
DTXSID0035748	0
DTXSID0039223	0
DTXSID0038887	1
DTXSID0040707	0
DTXSID0037495	0
DTXSID0040755	0
DTXSID0044367	1
DTXSID0044496	0
DTXSID0047377	0
DTXSID0048183	1
DTXSID0048507	0
DTXSID0052598	0
DTXSID1020433	1
DTXSID1020485	1
DTXSID1020560	0
DTXSID1020699	1
DTXSID1020855	1
DTXSID1021166	0
DTXSID1021409	0
DTXSID1021821	0
DTXSID1022180	1
DTXSID1022267	0
DTXSID1023998	0
DTXSID1024091	0
DTXSID1024259	0
DTXSID1025433	0
DTXSID1026906	1
DTXSID1027924	0
DTXSID1032355	1
DTXSID1032519	1
DTXSID1032484	1
DTXSID1032640	0
DTXSID1033664	1
DTXSID1034187	1
DTXSID1034634	1
DTXSID1034260	0
DTXSID1034212	0
DTXSID1034181	0
DTXSID1040742	1
DTXSID1047310	1
DTXSID1047312	1
DTXSID1047366	0
DTXSID1048170	0
DTXSID1048174	0
DTXSID2020347	0
DTXSID2020420	0
DTXSID2021105	0
DTXSID2021151	0
DTXSID2021286	0
DTXSID2021781	0
DTXSID2022381	1
DTXSID2022880	1
DTXSID2024086	0
DTXSID2024242	1
DTXSID2024163	1
DTXSID2025210	0
DTXSID2025680	0
DTXSID2026602	1
DTXSID2027204	0
DTXSID2031089	1
DTXSID2032342	1
DTXSID2032500	1
DTXSID2032392	0
DTXSID2032683	0
DTXSID2032398	0
DTXSID2035013	1
DTXSID2037712	1
DTXSID2038732	0
DTXSID2037714	0
DTXSID2040363	1
DTXSID2040733	1
DTXSID2047309	1
DTXSID2047351	1
DTXSID3020122	1
DTXSID3020465	1
DTXSID3021770	1
DTXSID3021936	0
DTXSID3022370	1
DTXSID3022455	0
DTXSID3022536	1
DTXSID3023897	1
DTXSID3023899	0
DTXSID3024154	0
DTXSID3024287	0
DTXSID3024318	0
DTXSID3024235	1
DTXSID3025209	1
DTXSID3025881	1
DTXSID3026691	0
DTXSID3027403	0
DTXSID3031864	1
DTXSID3032549	1
DTXSID3032624	0
DTXSID3034165	1
DTXSID3034612	0
DTXSID3036496	1
DTXSID3036525	1
DTXSID3037541	0
DTXSID3037094	1
DTXSID3040722	1
DTXSID3044338	1
DTXSID3047263	0
DTXSID3047429	1
DTXSID4020450	0
DTXSID4020791	1
DTXSID4020822	0
DTXSID4021218	0
DTXSID4021268	0
DTXSID4021185	1
DTXSID4021395	0
DTXSID4021426	0
DTXSID4021478	1
DTXSID4022361	1
DTXSID4022367	1
DTXSID4022442	1
DTXSID4022448	0
DTXSID4022369	0
DTXSID4024270	1
DTXSID4024276	0
DTXSID4032611	0
DTXSID4032613	1
DTXSID4032667	0
DTXSID4034869	0
DTXSID4034653	1
DTXSID4040002	0
DTXSID4041280	0
DTXSID4040264	0
DTXSID4040765	0
DTXSID4041234	1
DTXSID4041527	0
DTXSID4044375	0
DTXSID4051536	0
DTXSID5020154	1
DTXSID5020283	0
DTXSID5020449	0
DTXSID5020281	0
DTXSID5020366	1
DTXSID5020576	1
DTXSID5020607	0
DTXSID5020867	1
DTXSID5020819	1
DTXSID5020944	1
DTXSID5021413	1
DTXSID5022194	0
DTXSID5022308	0
DTXSID5022271	1
DTXSID5023322	1
DTXSID5023796	0
DTXSID5023902	1
DTXSID5024211	1
DTXSID5024344	0
DTXSID5026544	0
DTXSID5032498	1
DTXSID5032365	0
DTXSID5032442	0
DTXSID5035957	0
DTXSID5037523	0
DTXSID5040704	1
DTXSID5041306	1
DTXSID5048506	1
DTXSID5051650	1
DTXSID6020515	0
DTXSID6020569	0
DTXSID6020690	1
DTXSID6020939	0
DTXSID6021086	0
DTXSID6021248	0
DTXSID6021450	1
DTXSID6022474	1
DTXSID6023864	0
DTXSID6024175	0
DTXSID6024204	0
DTXSID6024177	0
DTXSID6024838	0
DTXSID6024836	0
DTXSID6025012	0
DTXSID6025355	1
DTXSID6027052	0
DTXSID6032358	0
DTXSID6032562	1
DTXSID6034186	1
DTXSID6040747	1
DTXSID6041636	1
DTXSID6044511	0
DTXSID6047288	0
DTXSID6048175	0
DTXSID7020182	1
DTXSID7020479	0
DTXSID7020764	1
DTXSID7020843	1
DTXSID7021106	0
DTXSID7021150	1
DTXSID7021152	1
DTXSID7021233	1
DTXSID7021100	1
DTXSID7021362	0
DTXSID7021239	1
DTXSID7021780	0
DTXSID7022253	0
DTXSID7024035	0
DTXSID7024087	0
DTXSID7024160	1
DTXSID7024245	0
DTXSID7028015	0
DTXSID7030698	1
DTXSID7032004	1
DTXSID7032559	0
DTXSID7034545	1
DTXSID7037717	1
DTXSID7040788	1
DTXSID7047433	1
DTXSID7052571	1
DTXSID8020256	0
DTXSID8020337	1
DTXSID8020464	0
DTXSID8020620	1
DTXSID8021519	0
DTXSID8021771	1
DTXSID8022325	1
DTXSID8022292	0
DTXSID8022111	1
DTXSID8022406	1
DTXSID8022377	1
DTXSID8023846	0
DTXSID8024109	0
DTXSID8024151	1
DTXSID8024234	0
DTXSID8024280	1
DTXSID8024315	0
DTXSID8024523	1
DTXSID8027034	0
DTXSID8031863	1
DTXSID8031865	0
DTXSID8032386	0
DTXSID8033562	1
DTXSID8034376	1
DTXSID8034665	0
DTXSID8034956	1
DTXSID8037706	1
DTXSID8040721	0
DTXSID8047262	1
DTXSID8047347	0
DTXSID8047268	1
DTXSID8047890	1
DTXSID9020160	0
DTXSID9020112	0
DTXSID9020243	0
DTXSID9020247	0
DTXSID9020299	1
DTXSID9020374	0
DTXSID9020407	1
DTXSID9020827	0
DTXSID9020790	0
DTXSID9021689	0
DTXSID9021843	0
DTXSID9022360	1
DTXSID9022364	1
DTXSID9022366	1
DTXSID9022528	0
DTXSID9023380	1
DTXSID9024431	0
DTXSID9025035	1
DTXSID9025293	0
DTXSID9026261	1
DTXSID9026974	0
DTXSID9032329	1
DTXSID9032113	1
DTXSID9032589	1
DTXSID9033923	1
DTXSID9034573	0
DTXSID9036438	1
DTXSID9036515	1
DTXSID9040001	0
DTXSID9044532	0
DTXSID9047251	0
DTXSID9047259	1
DTXSID9047592	1
DTXSID9047540	1
DTXSID9047598	1
DTXSID9048510	1
