compound	response	smiles
DTXSID0020020	0	CC(=O)Nc1ccc(CC(=O)O)cc1
DTXSID0020105	0	O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+]
DTXSID0020072	0	Cl.Nc1ccc(-c2ccccc2)cc1
DTXSID0020022	0	O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
DTXSID0020076	0	Nc1nc[nH]n1
DTXSID00190950	0	OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00192353	0	O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00194615	0	C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID0020236	0	CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2]
DTXSID0020107	0	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
DTXSID0020280	0	O=[N+]([O-])c1ccccc1Cl
DTXSID0020286	0	Cc1ccc(N)cc1Cl
DTXSID0020288	0	Cc1cc(Cl)ccc1N.Cl
DTXSID0020311	0	CN(C)C(=O)Nc1ccc(Cl)cc1
DTXSID0020232	0	Cn1c(=O)c2c(ncn2C)n(C)c1=O
DTXSID0020319	0	N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
DTXSID0020361	0	[Cl-].[NH3+]C1CCCCC1
DTXSID0020365	0	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DTXSID0020494	0	COP(C)(=O)OC
DTXSID0020446	0	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
DTXSID0020151	0	CC(=O)OCc1ccccc1
DTXSID0020282	0	Nc1ccc(Cl)c(N)c1
