compound	response
DTXSID0020446	0
DTXSID0020814	1
DTXSID0021460	1
DTXSID0022353	1
DTXSID0022436	1
DTXSID0028038	0
DTXSID0032316	1
DTXSID0032520	0
DTXSID0032572	0
DTXSID0032655	0
DTXSID0034192	0
DTXSID0047957	0
DTXSID1020221	1
DTXSID1020510	0
DTXSID1020770	0
DTXSID1020560	0
DTXSID1020855	0
DTXSID1021322	0
DTXSID1021952	0
DTXSID1022396	1
DTXSID1022508	1
DTXSID1022394	1
DTXSID1023998	0
DTXSID1024259	0
DTXSID1026081	0
DTXSID1027926	0
DTXSID1029170	0
DTXSID1032519	0
DTXSID1032648	0
DTXSID1033664	1
DTXSID1034187	0
DTXSID1038298	1
DTXSID1047310	0
DTXSID2020426	0
DTXSID2020347	0
DTXSID2020420	0
DTXSID2021781	0
DTXSID2022179	0
DTXSID2022381	1
DTXSID2022678	0
DTXSID2023270	0
DTXSID2023569	0
DTXSID2024163	0
DTXSID2025680	0
DTXSID2032500	0
DTXSID2032390	0
DTXSID2032398	0
DTXSID2037712	0
DTXSID2040733	0
DTXSID2040363	0
DTXSID2045232	0
DTXSID3020122	0
DTXSID3020205	0
DTXSID3020465	1
DTXSID3020625	0
DTXSID3021770	0
DTXSID3021984	0
DTXSID3021986	0
DTXSID3022320	0
DTXSID3022536	1
DTXSID3022409	1
DTXSID3022405	1
DTXSID3024154	0
DTXSID3024104	0
DTXSID3024102	0
DTXSID3024239	0
DTXSID3024289	0
DTXSID3027403	0
DTXSID3031864	0
DTXSID3034165	0
DTXSID3036496	0
DTXSID3037094	0
DTXSID3047425	1
DTXSID3047477	0
DTXSID4020373	0
DTXSID4020375	1
DTXSID4020379	1
DTXSID4020618	0
DTXSID4021395	0
DTXSID4022361	0
DTXSID4022446	1
DTXSID4022448	0
DTXSID4022527	1
DTXSID4022525	1
DTXSID4022367	1
DTXSID4024270	0
DTXSID4024276	0
DTXSID4024359	0
DTXSID4025082	0
DTXSID4032613	0
DTXSID4034497	0
DTXSID4047882	1
DTXSID5020154	0
DTXSID5020366	0
DTXSID5020607	0
DTXSID5020576	1
DTXSID5021126	0
DTXSID5021209	0
DTXSID5022308	1
DTXSID5022489	0
DTXSID5024059	1
DTXSID5024211	0
DTXSID5031131	0
DTXSID5032498	0
DTXSID5032573	0
DTXSID5035957	0
DTXSID5041306	1
DTXSID5048184	0
DTXSID5048186	0
DTXSID6020220	0
DTXSID6020307	0
DTXSID6020511	1
DTXSID6022391	1
DTXSID6022345	0
DTXSID6024254	0
DTXSID6027345	1
DTXSID6028022	1
DTXSID6032352	0
DTXSID6032562	0
DTXSID6034186	0
DTXSID6040747	0
DTXSID6041422	0
DTXSID6043915	0
DTXSID7020182	1
DTXSID7020392	0
DTXSID7020768	1
DTXSID7020970	0
DTXSID7021152	1
DTXSID7022332	1
DTXSID7024245	1
DTXSID7025429	0
DTXSID7027047	1
DTXSID7027756	1
DTXSID7029611	0
DTXSID7032004	0
DTXSID7032553	1
DTXSID7032638	0
DTXSID7034545	1
DTXSID7034674	0
DTXSID7037717	1
DTXSID7041544	0
DTXSID7041889	0
DTXSID7047433	1
DTXSID8020337	0
DTXSID8020620	0
DTXSID8021771	1
DTXSID8022080	0
DTXSID8022111	0
DTXSID8022325	1
DTXSID8022292	0
DTXSID8022406	1
DTXSID8023719	0
DTXSID8023848	0
DTXSID8023216	1
DTXSID8024151	0
DTXSID8024238	0
DTXSID8024280	0
DTXSID8024523	1
DTXSID8031865	0
DTXSID8032386	0
DTXSID8033562	0
DTXSID8034324	1
DTXSID8041248	0
DTXSID8044836	1
DTXSID9020160	0
DTXSID9020299	0
DTXSID9020374	0
DTXSID9020372	1
DTXSID9020827	0
DTXSID9022310	1
DTXSID9022360	0
DTXSID9022364	0
DTXSID9022366	0
DTXSID9023380	1
DTXSID9024986	1
DTXSID9026261	0
DTXSID9026265	1
DTXSID9032113	0
DTXSID9032531	0
DTXSID9032589	0
DTXSID9032379	0
DTXSID9033923	0
DTXSID9036515	0
DTXSID9040716	0
DTXSID9041653	1
DTXSID9047540	1
DTXSID9047592	0
DTXSID9047598	0
DTXSID9048196	0
