compound	response
DTXSID0020072	0
DTXSID0020573	1
DTXSID0020814	1
DTXSID0021127	0
DTXSID0021460	0
DTXSID0022353	0
DTXSID0022858	0
DTXSID0023373	0
DTXSID0032655	0
DTXSID0034192	1
DTXSID0041987	0
DTXSID0044941	0
DTXSID0044993	0
DTXSID0044995	0
DTXSID0045254	1
DTXSID0045676	0
DTXSID0046309	0
DTXSID0048686	1
DTXSID0057677	1
DTXSID1020433	0
DTXSID1020770	0
DTXSID1020855	0
DTXSID1021299	0
DTXSID1022396	1
DTXSID1022394	0
DTXSID1024259	0
DTXSID1033539	1
DTXSID1033664	1
DTXSID1036541	1
DTXSID1041132	0
DTXSID1044982	0
DTXSID1046970	0
DTXSID1047318	0
DTXSID1047312	0
DTXSID1057824	1
DTXSID2020686	0
DTXSID2020971	0
DTXSID2022381	0
DTXSID2022678	0
DTXSID2022880	1
DTXSID2023276	1
DTXSID2023353	1
DTXSID2024163	0
DTXSID2032398	0
DTXSID2032558	0
DTXSID2041913	0
DTXSID2044719	0
DTXSID2045365	1
DTXSID2045232	0
DTXSID2046094	0
DTXSID2046123	0
DTXSID2046460	1
DTXSID2047357	0
DTXSID2047569	0
DTXSID2049050	0
DTXSID2057730	0
DTXSID3020205	0
DTXSID3020380	0
DTXSID3020629	0
DTXSID3021770	0
DTXSID3022320	0
DTXSID3022160	0
DTXSID3022536	0
DTXSID3022667	1
DTXSID3023502	1
DTXSID3034113	1
DTXSID3037541	0
DTXSID3040770	0
DTXSID3040980	0
DTXSID3041827	0
DTXSID3044128	1
DTXSID3044835	0
DTXSID3044960	0
DTXSID3045306	1
DTXSID3045930	1
DTXSID3047429	1
DTXSID3047843	0
DTXSID3048607	0
DTXSID3048863	1
DTXSID3057690	1
DTXSID3057852	1
DTXSID3057854	0
DTXSID4020248	0
DTXSID4020373	0
DTXSID4020375	0
DTXSID4020379	0
DTXSID4021135	0
DTXSID4021218	0
DTXSID4021181	0
DTXSID4021185	0
DTXSID4021478	1
DTXSID4022315	0
DTXSID4022361	0
DTXSID4022367	1
DTXSID4022999	1
DTXSID4023042	0
DTXSID4022369	0
DTXSID4023179	0
DTXSID4023094	1
DTXSID4024270	0
DTXSID4031980	0
DTXSID4034497	0
DTXSID4038922	0
DTXSID4041600	0
DTXSID4042256	0
DTXSID4045896	1
DTXSID4046024	0
DTXSID4046109	0
DTXSID4047882	0
DTXSID4048690	0
DTXSID4057685	0
DTXSID4057689	1
DTXSID4057631	1
DTXSID5020233	0
DTXSID5020310	0
DTXSID5022857	1
DTXSID5022724	0
DTXSID5023037	0
DTXSID5023370	0
DTXSID5023322	0
DTXSID5023794	1
DTXSID5023669	0
DTXSID5023902	0
DTXSID5024211	0
DTXSID5033836	0
DTXSID5041306	0
DTXSID5040750	1
DTXSID5044520	0
DTXSID5046067	1
DTXSID5046148	0
DTXSID5046853	0
DTXSID5057832	0
DTXSID6020983	0
DTXSID6022391	1
DTXSID6022345	0
DTXSID6022474	1
DTXSID6023024	1
DTXSID6022894	1
DTXSID6032192	0
DTXSID6033538	1
DTXSID6040747	1
DTXSID6040745	0
DTXSID6041684	0
DTXSID6041973	0
DTXSID6042498	0
DTXSID6046553	0
DTXSID6048171	0
DTXSID6048919	0
DTXSID6048961	0
DTXSID6049068	0
DTXSID6057661	0
DTXSID6057823	1
DTXSID7020182	0
DTXSID7020215	0
DTXSID7020631	0
DTXSID7020714	1
DTXSID7020768	1
DTXSID7020970	0
DTXSID7021152	0
DTXSID7021100	0
DTXSID7021316	0
DTXSID7022120	0
DTXSID7022174	0
DTXSID7023061	1
DTXSID7023350	1
DTXSID7023300	1
DTXSID7032004	0
DTXSID7032638	0
DTXSID7034674	0
DTXSID7037717	0
DTXSID7037262	1
DTXSID7040283	0
DTXSID7041544	0
DTXSID7045867	1
DTXSID7046465	1
DTXSID7046889	1
DTXSID7047146	0
DTXSID7057656	0
DTXSID8020040	0
DTXSID8022111	0
DTXSID8022161	0
DTXSID8022406	0
DTXSID8022377	1
DTXSID8022901	1
DTXSID8024523	1
DTXSID8027323	0
DTXSID8029282	0
DTXSID8032548	0
DTXSID8033512	1
DTXSID8032675	0
DTXSID8033562	0
DTXSID8040274	0
DTXSID8042349	0
DTXSID8045642	1
DTXSID8045646	1
DTXSID8047137	1
DTXSID8047264	0
DTXSID8047896	0
DTXSID8048814	1
DTXSID8048812	0
DTXSID8049414	0
DTXSID8057697	1
DTXSID8057857	0
DTXSID9020372	0
DTXSID9020374	0
DTXSID9020453	0
DTXSID9020582	0
DTXSID9020796	0
DTXSID9020827	0
DTXSID9021184	1
DTXSID9021219	0
DTXSID9022364	1
DTXSID9022366	0
DTXSID9023706	0
DTXSID9026261	0
DTXSID9029223	0
DTXSID9032531	0
DTXSID9033923	0
DTXSID9036515	1
DTXSID9044821	0
DTXSID9046104	0
DTXSID9046029	0
DTXSID9046445	0
DTXSID9046992	0
DTXSID9048649	0
DTXSID9048801	0
DTXSID9057840	0
DTXSID9057715	0
