compound	response
DTXSID0020286	0
DTXSID0020319	0
DTXSID0020446	1
DTXSID0020573	1
DTXSID0020814	1
DTXSID0021094	0
DTXSID0021256	1
DTXSID0021414	1
DTXSID0021543	0
DTXSID0022353	1
DTXSID0022519	0
DTXSID0023296	1
DTXSID0023907	0
DTXSID0025234	1
DTXSID0025527	1
DTXSID0027222	0
DTXSID0029210	1
DTXSID0029262	0
DTXSID0032493	1
DTXSID0032572	0
DTXSID0032601	1
DTXSID0032655	1
DTXSID0034192	1
DTXSID0034518	0
DTXSID0034695	1
DTXSID0035748	1
DTXSID0037730	1
DTXSID0038887	1
DTXSID0040707	0
DTXSID0044367	0
DTXSID0044496	0
DTXSID0047246	1
DTXSID0047371	1
DTXSID0047325	0
DTXSID0047379	1
DTXSID0047377	1
DTXSID0048183	1
DTXSID0052598	1
DTXSID1020190	0
DTXSID1020352	0
DTXSID1020433	0
DTXSID1020485	1
DTXSID1020510	0
DTXSID1020699	0
DTXSID1020770	0
DTXSID1020855	1
DTXSID1020807	0
DTXSID1021031	0
DTXSID1021087	1
DTXSID1022180	1
DTXSID1022265	1
DTXSID1025433	0
DTXSID1025726	0
DTXSID1025805	1
DTXSID1027184	0
DTXSID1026906	0
DTXSID1027429	0
DTXSID1032511	0
DTXSID1032519	1
DTXSID1032484	0
DTXSID1032690	0
DTXSID1033161	0
DTXSID1033664	1
DTXSID1034187	0
DTXSID1034181	1
DTXSID1034260	0
DTXSID1037565	0
DTXSID1038298	1
DTXSID1040742	1
DTXSID1040794	1
DTXSID1040372	0
DTXSID1042154	0
DTXSID1044487	1
DTXSID1047310	0
DTXSID1047312	1
DTXSID1047528	0
DTXSID1048174	0
DTXSID2020137	1
DTXSID2020189	1
DTXSID2020426	1
DTXSID2021151	1
DTXSID2021781	0
DTXSID2022381	0
DTXSID2022678	1
DTXSID2022880	0
DTXSID2024163	1
DTXSID2025210	0
DTXSID2025505	1
DTXSID2029325	1
DTXSID2031089	0
DTXSID2032390	0
DTXSID2032342	1
DTXSID2032348	1
DTXSID2032500	1
DTXSID2035013	0
DTXSID2036112	1
DTXSID2037712	1
DTXSID2037714	0
DTXSID2040363	1
DTXSID2040733	0
DTXSID2041252	0
DTXSID2041208	0
DTXSID2047353	1
DTXSID2047351	1
DTXSID3020122	1
DTXSID3020209	0
DTXSID3020465	1
DTXSID3020673	1
DTXSID3020625	0
DTXSID3021483	0
DTXSID3021770	0
DTXSID3022247	0
DTXSID3022370	1
DTXSID3022536	1
DTXSID3022667	1
DTXSID3023897	1
DTXSID3024102	1
DTXSID3024318	0
DTXSID3024235	1
DTXSID3025091	1
DTXSID3025209	0
DTXSID3026065	0
DTXSID3026728	0
DTXSID3027403	1
DTXSID3029653	0
DTXSID3031864	1
DTXSID3032389	0
DTXSID3031862	0
DTXSID3032624	0
DTXSID3034165	1
DTXSID3034402	0
DTXSID3036525	0
DTXSID3036496	1
DTXSID3037541	0
DTXSID3037094	1
DTXSID3038696	0
DTXSID3040722	1
DTXSID3040776	1
DTXSID3041409	0
DTXSID3041611	0
DTXSID3044338	1
DTXSID3047425	0
DTXSID3047429	0
DTXSID3048522	1
DTXSID4020240	0
DTXSID4020379	1
DTXSID4020959	1
DTXSID4020822	0
DTXSID4021185	1
DTXSID4021478	0
DTXSID4021848	0
DTXSID4022361	0
DTXSID4022367	1
DTXSID4022369	1
DTXSID4022442	1
DTXSID4022446	1
DTXSID4022527	0
DTXSID4023202	1
DTXSID4023412	1
DTXSID4024066	1
DTXSID4024270	1
DTXSID4024359	0
DTXSID4026183	0
DTXSID4027236	1
DTXSID4027282	0
DTXSID4027494	1
DTXSID4027650	0
DTXSID4032613	1
DTXSID4034497	1
DTXSID4035708	1
DTXSID4034653	1
DTXSID4034869	0
DTXSID4041280	0
DTXSID4040264	1
DTXSID4041234	0
DTXSID4040765	0
DTXSID4041232	0
DTXSID4041527	0
DTXSID4042096	0
DTXSID4044375	1
DTXSID4047337	1
DTXSID4047882	0
DTXSID4048519	0
DTXSID4051536	0
DTXSID5020154	1
DTXSID5020233	1
DTXSID5020283	1
DTXSID5020366	1
DTXSID5020528	0
DTXSID5020576	1
DTXSID5020653	1
DTXSID5020811	0
DTXSID5020784	1
DTXSID5020867	1
DTXSID5021413	1
DTXSID5022194	0
DTXSID5021914	0
DTXSID5022308	0
DTXSID5022271	1
DTXSID5022439	0
DTXSID5022934	0
DTXSID5023322	1
DTXSID5023796	0
DTXSID5024211	1
DTXSID5024059	1
DTXSID5024261	1
DTXSID5025021	0
DTXSID5026544	0
DTXSID5027356	0
DTXSID5027774	1
DTXSID5032498	1
DTXSID5034981	1
DTXSID5040704	0
DTXSID5038888	1
DTXSID5041306	1
DTXSID5041726	1
DTXSID5041728	1
DTXSID5047249	1
DTXSID5047320	1
DTXSID5047297	1
DTXSID5047322	0
DTXSID5047451	0
DTXSID5048184	1
DTXSID5048506	1
DTXSID5051650	0
DTXSID6020068	1
DTXSID6020197	1
DTXSID6020278	1
DTXSID6020511	1
DTXSID6020569	1
DTXSID6020690	1
DTXSID6021450	0
DTXSID6021824	1
DTXSID6022391	1
DTXSID6022474	1
DTXSID6023862	0
DTXSID6023868	1
DTXSID6024838	1
DTXSID6024624	0
DTXSID6024882	0
DTXSID6025012	0
DTXSID6025226	1
DTXSID6025486	0
DTXSID6027345	1
DTXSID6028022	1
DTXSID6032514	1
DTXSID6034186	1
DTXSID6034764	0
DTXSID6040747	1
DTXSID6041424	0
DTXSID6041422	1
DTXSID6041682	1
DTXSID6041636	0
DTXSID6042074	1
DTXSID6044303	1
DTXSID6043915	1
DTXSID6044511	0
DTXSID6047280	1
DTXSID6047311	1
DTXSID6047315	1
DTXSID7020182	1
DTXSID7020392	1
DTXSID7020843	1
DTXSID7021150	1
DTXSID7021152	1
DTXSID7021233	1
DTXSID7021237	1
DTXSID7021362	1
DTXSID7021815	1
DTXSID7022332	1
DTXSID7023645	1
DTXSID7025429	1
DTXSID7026368	0
DTXSID7027388	0
DTXSID7027833	0
DTXSID7027756	1
DTXSID7028015	1
DTXSID7032004	1
DTXSID7032345	1
DTXSID7032424	1
DTXSID7032559	0
DTXSID7032688	0
DTXSID7034545	1
DTXSID7034674	1
DTXSID7035010	0
DTXSID7037185	1
DTXSID7037717	1
DTXSID7040788	1
DTXSID7041544	0
DTXSID7041708	1
DTXSID7044718	1
DTXSID7047306	0
DTXSID7047358	1
DTXSID7047433	1
DTXSID7052571	1
DTXSID8020256	0
DTXSID8020337	1
DTXSID8020464	1
DTXSID8020961	1
DTXSID8020969	0
DTXSID8021062	0
DTXSID8021224	1
DTXSID8021301	1
DTXSID8021771	1
DTXSID8021804	0
DTXSID8022111	1
DTXSID8022325	1
DTXSID8022377	1
DTXSID8022406	1
DTXSID8022959	1
DTXSID8023848	1
DTXSID8023216	0
DTXSID8024151	1
DTXSID8024280	1
DTXSID8024311	0
DTXSID8024523	1
DTXSID8026727	0
DTXSID8027292	1
DTXSID8027454	0
DTXSID8027377	0
DTXSID8032386	0
DTXSID8033562	1
DTXSID8034376	0
DTXSID8034956	1
DTXSID8035180	0
DTXSID8040721	0
DTXSID8041909	1
DTXSID8047347	0
DTXSID8047268	0
DTXSID8047890	0
DTXSID9020299	1
DTXSID9020374	1
DTXSID9020409	0
DTXSID9020617	1
DTXSID9020827	0
DTXSID9021138	1
DTXSID9021843	0
DTXSID9022100	0
DTXSID9022364	1
DTXSID9022366	0
DTXSID9022526	1
DTXSID9022528	0
DTXSID9023380	1
DTXSID9025035	1
DTXSID9026261	1
DTXSID9026841	0
DTXSID9026922	0
DTXSID9029146	0
DTXSID9032113	1
DTXSID9032531	1
DTXSID9032589	0
DTXSID9032537	1
DTXSID9033923	0
DTXSID9036438	1
DTXSID9034997	1
DTXSID9035204	1
DTXSID9036515	1
DTXSID9040716	1
DTXSID9041289	0
DTXSID9041653	1
DTXSID9044532	0
DTXSID9044538	1
DTXSID9044825	0
DTXSID9047257	0
DTXSID9047338	0
DTXSID9047540	1
DTXSID9047592	1
DTXSID9047598	1
DTXSID9048510	1
