compound	response
DTXSID0020105	0
DTXSID0020319	0
DTXSID0020442	0
DTXSID0020523	0
DTXSID0020573	1
DTXSID0020814	1
DTXSID0021125	1
DTXSID0021385	0
DTXSID0021464	1
DTXSID0021543	0
DTXSID0022353	1
DTXSID0022018	0
DTXSID0022777	0
DTXSID0023901	0
DTXSID0024266	0
DTXSID0025234	1
DTXSID0025527	1
DTXSID0032493	0
DTXSID0032520	0
DTXSID0032601	0
DTXSID0032605	0
DTXSID0032655	0
DTXSID0034192	1
DTXSID0034695	1
DTXSID0035748	0
DTXSID0037495	0
DTXSID0038881	1
DTXSID0039223	0
DTXSID0038887	1
DTXSID0040707	0
DTXSID0041357	0
DTXSID0041567	0
DTXSID0042169	1
DTXSID0042400	1
DTXSID0044367	0
DTXSID0044496	0
DTXSID0047375	1
DTXSID0047371	1
DTXSID0047377	1
DTXSID0048183	0
DTXSID0052598	0
DTXSID1020069	0
DTXSID1020433	0
DTXSID1020485	0
DTXSID1020560	0
DTXSID1020770	1
DTXSID1020855	0
DTXSID1021243	1
DTXSID1021166	0
DTXSID1021409	0
DTXSID1022180	0
DTXSID1022053	0
DTXSID1022267	0
DTXSID1023998	0
DTXSID1024091	0
DTXSID1024259	0
DTXSID1025433	0
DTXSID1026031	1
DTXSID1026081	1
DTXSID1027134	1
DTXSID1026906	0
DTXSID1027926	0
DTXSID1032484	1
DTXSID1032640	0
DTXSID1033161	0
DTXSID1032648	0
DTXSID1033664	1
DTXSID1034187	0
DTXSID1034260	1
DTXSID1034181	0
DTXSID1040611	0
DTXSID1040794	1
DTXSID1040372	0
DTXSID1041978	0
DTXSID1042154	0
DTXSID1044487	0
DTXSID1047310	1
DTXSID1047312	1
DTXSID1048170	1
DTXSID1048178	0
DTXSID2020189	1
DTXSID2020426	0
DTXSID2020347	0
DTXSID2020420	0
DTXSID2020688	0
DTXSID2021105	0
DTXSID2021151	0
DTXSID2021781	0
DTXSID2022381	1
DTXSID2022678	1
DTXSID2022880	1
DTXSID2024163	0
DTXSID2025210	0
DTXSID2025505	1
DTXSID2025680	0
DTXSID2027204	0
DTXSID2029298	1
DTXSID2031089	1
DTXSID2029246	0
DTXSID2032390	0
DTXSID2032342	1
DTXSID2032348	1
DTXSID2032500	0
DTXSID2032683	0
DTXSID2032556	0
DTXSID2032558	0
DTXSID2032398	0
DTXSID2034881	0
DTXSID2035013	0
DTXSID2036112	1
DTXSID2038732	0
DTXSID2037714	0
DTXSID2040363	0
DTXSID2040733	1
DTXSID2040361	0
DTXSID2041709	1
DTXSID2044713	1
DTXSID2045232	1
DTXSID2047351	1
DTXSID3020122	0
DTXSID3020207	0
DTXSID3020209	0
DTXSID3020465	1
DTXSID3020625	0
DTXSID3020673	1
DTXSID3021770	1
DTXSID3022320	0
DTXSID3022370	1
DTXSID3022455	0
DTXSID3022536	1
DTXSID3023897	0
DTXSID3023899	0
DTXSID3024154	0
DTXSID3024235	0
DTXSID3024104	0
DTXSID3024318	0
DTXSID3025209	0
DTXSID3027403	1
DTXSID3031860	1
DTXSID3032464	0
DTXSID3031864	1
DTXSID3032549	0
DTXSID3032624	0
DTXSID3034165	1
DTXSID3034402	0
DTXSID3034612	0
DTXSID3036525	0
DTXSID3036496	1
DTXSID3037541	0
DTXSID3037094	1
DTXSID3038939	0
DTXSID3040722	0
DTXSID3041530	1
DTXSID3044338	1
DTXSID3047261	0
DTXSID3047429	0
DTXSID3048520	0
DTXSID4020450	0
DTXSID4020379	1
DTXSID4020791	0
DTXSID4020822	0
DTXSID4021395	0
DTXSID4021268	0
DTXSID4021391	0
DTXSID4021478	1
DTXSID4022153	0
DTXSID4022361	0
DTXSID4022442	1
DTXSID4022525	1
DTXSID4022448	0
DTXSID4022367	0
DTXSID4022369	0
DTXSID4023202	0
DTXSID4024066	0
DTXSID4024270	0
DTXSID4024276	0
DTXSID4024436	0
DTXSID4024359	0
DTXSID4026214	0
DTXSID4027076	1
DTXSID4027527	0
DTXSID4032372	0
DTXSID4032376	0
DTXSID4032611	0
DTXSID4032613	1
DTXSID4032667	0
DTXSID4034497	0
DTXSID4035708	1
DTXSID4034653	0
DTXSID4034869	0
DTXSID4040002	0
DTXSID4040713	1
DTXSID4041280	0
DTXSID4040264	0
DTXSID4041234	0
DTXSID4040765	0
DTXSID4041527	0
DTXSID4042416	1
DTXSID4042418	1
DTXSID4044375	0
DTXSID4047258	0
DTXSID4047337	1
DTXSID4047381	1
DTXSID4048513	0
DTXSID4051536	0
DTXSID5020154	1
DTXSID5020449	0
DTXSID5020366	1
DTXSID5020601	0
DTXSID5020607	0
DTXSID5020576	1
DTXSID5020653	0
DTXSID5020819	0
DTXSID5021413	0
DTXSID5022194	0
DTXSID5022308	0
DTXSID5022437	1
DTXSID5022439	0
DTXSID5022271	1
DTXSID5023322	1
DTXSID5023796	0
DTXSID5023902	0
DTXSID5024211	0
DTXSID5024261	0
DTXSID5024344	0
DTXSID5025021	0
DTXSID5026544	0
DTXSID5027304	0
DTXSID5027932	1
DTXSID5032498	1
DTXSID5032365	0
DTXSID5032315	0
DTXSID5032442	0
DTXSID5032525	0
DTXSID5033836	0
DTXSID5035957	0
DTXSID5034981	1
DTXSID5037523	0
DTXSID5038888	1
DTXSID5040704	0
DTXSID5041306	1
DTXSID5041726	1
DTXSID5041728	1
DTXSID5042243	1
DTXSID5044865	1
DTXSID5047320	0
DTXSID5047249	1
DTXSID5047451	0
DTXSID5048184	0
DTXSID5048182	0
DTXSID5048506	0
DTXSID5051650	0
DTXSID6020278	1
DTXSID6020511	0
DTXSID6020569	0
DTXSID6020690	1
DTXSID6021086	0
DTXSID6021248	0
DTXSID6021450	1
DTXSID6021824	1
DTXSID6022345	0
DTXSID6022474	1
DTXSID6023868	0
DTXSID6023864	0
DTXSID6024175	0
DTXSID6024177	0
DTXSID6024204	0
DTXSID6024838	0
DTXSID6024882	0
DTXSID6025012	0
DTXSID6025226	1
DTXSID6027713	1
DTXSID6027397	1
DTXSID6027923	1
DTXSID6027921	0
DTXSID6032562	0
DTXSID6034186	1
DTXSID6036467	1
DTXSID6040747	0
DTXSID6041682	1
DTXSID6041636	0
DTXSID6044511	0
DTXSID6047315	1
DTXSID6047525	0
DTXSID7020182	1
DTXSID7020479	0
DTXSID7020768	0
DTXSID7020843	1
DTXSID7020970	0
DTXSID7021152	0
DTXSID7021106	0
DTXSID7021233	1
DTXSID7021100	0
DTXSID7021362	0
DTXSID7022253	0
DTXSID7023645	1
DTXSID7024035	0
DTXSID7024160	0
DTXSID7024299	0
DTXSID7024245	0
DTXSID7025506	1
DTXSID7026314	1
DTXSID7028015	0
DTXSID7029871	0
DTXSID7029879	0
DTXSID7032004	0
DTXSID7032345	1
DTXSID7032393	0
DTXSID7032559	0
DTXSID7034545	0
DTXSID7034674	0
DTXSID7037185	1
DTXSID7037717	1
DTXSID7041708	1
DTXSID7044718	1
DTXSID7047304	1
DTXSID7047433	0
DTXSID7052571	0
DTXSID8020256	0
DTXSID8020337	1
DTXSID8020464	0
DTXSID8020834	0
DTXSID8021224	1
DTXSID8021777	0
DTXSID8022325	1
DTXSID8022292	0
DTXSID8022406	0
DTXSID8022377	1
DTXSID8022959	1
DTXSID8023719	0
DTXSID8023846	0
DTXSID8023216	1
DTXSID8024109	0
DTXSID8024159	0
DTXSID8024151	0
DTXSID8024234	0
DTXSID8024284	0
DTXSID8024280	0
DTXSID8024315	0
DTXSID8024523	1
DTXSID8027292	0
DTXSID8031865	0
DTXSID8032386	0
DTXSID8031863	1
DTXSID8032548	0
DTXSID8033562	1
DTXSID8034376	0
DTXSID8034956	0
DTXSID8037708	1
DTXSID8037706	1
DTXSID8040721	0
DTXSID8041248	0
DTXSID8047347	0
DTXSID8047553	0
DTXSID8047890	0
DTXSID9020112	0
DTXSID9020160	0
DTXSID9020243	0
DTXSID9020293	0
DTXSID9020247	0
DTXSID9020374	0
DTXSID9020372	0
DTXSID9020453	0
DTXSID9020407	0
DTXSID9020794	1
DTXSID9020827	0
DTXSID9021843	0
DTXSID9022310	0
DTXSID9022364	1
DTXSID9022360	0
DTXSID9022366	0
DTXSID9022528	0
DTXSID9023380	1
DTXSID9024431	0
DTXSID9025035	1
DTXSID9024986	0
DTXSID9025453	0
DTXSID9026132	0
DTXSID9026261	0
DTXSID9032113	0
DTXSID9032329	0
DTXSID9032531	0
DTXSID9032537	1
DTXSID9032589	1
DTXSID9033923	0
DTXSID9034573	0
DTXSID9036438	0
DTXSID9034997	1
DTXSID9035204	0
DTXSID9036515	1
DTXSID9037539	0
DTXSID9040001	0
DTXSID9040716	0
DTXSID9041289	1
DTXSID9044532	0
DTXSID9044538	1
DTXSID9047592	1
DTXSID9047594	1
DTXSID9047598	1
DTXSID9048510	0
DTXSID9048518	0
