compound	response	smiles
DTXSID0020365	0	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DTXSID0020319	0	N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
DTXSID0020151	0	CC(=O)OCc1ccccc1
DTXSID0020442	0	O=C(O)COc1ccc(Cl)cc1Cl
DTXSID0020440	0	CC(Oc1ccc(Cl)cc1Cl)C(=O)O
DTXSID0020573	1	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID0020606	0	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
DTXSID0020814	1	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
DTXSID0021094	0	Nc1ccc(Oc2ccc(N)cc2)cc1
DTXSID0021125	1	O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
DTXSID0021127	0	CC(COc1ccccc1)N(CCCl)Cc1ccccc1.Cl
DTXSID0021385	0	O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
DTXSID0021333	0	CN(C)C(=S)SC(=S)N(C)C
DTXSID0021389	0	COP(=O)(OC)C(O)C(Cl)(Cl)Cl
DTXSID0021339	0	S=P(N1CC1)(N1CC1)N1CC1
DTXSID0021460	1	C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
DTXSID0021464	0	CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
DTXSID0021626	0	CC(C)c1ccc(CO)cc1
DTXSID0021961	0	O=C(c1ccccc1)c1ccccc1
DTXSID0021969	0	COc1cc(C=O)ccc1O
DTXSID0022353	0	Oc1ccc(-c2ccccc2)cc1Cl
DTXSID0022018	0	CCOP(=S)(OCC)SCCSCC
DTXSID0022436	1	CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1
DTXSID0022480	0	CCc1cccc(O)c1
DTXSID0023113	0	COc1ccccc1O
DTXSID0022777	0	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
DTXSID0023371	0	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
DTXSID0023907	0	c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
DTXSID0023951	0	CC1=C(C(=O)Nc2ccccc2)SCCO1
