compound	response	smiles
DTXSID0020076	0	Nc1nc[nH]n1
DTXSID0020103	1	[As+3].[As+3].[O-2].[O-2].[O-2]
DTXSID0020020	0	CC(=O)Nc1ccc(CC(=O)O)cc1
DTXSID0020074	0	NCC1(CC(=O)O)CCCCC1
DTXSID0020022	0	O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
DTXSID0020105	0	O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+]
DTXSID0020072	0	Cl.Nc1ccc(-c2ccccc2)cc1
DTXSID0020024	0	C=CC(OCC)OCC
DTXSID0020070	0	NCCCCCC(=O)O
DTXSID0020107	0	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
DTXSID0020236	0	CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2]
DTXSID0020238	0	CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O
DTXSID0020151	0	CC(=O)OCc1ccccc1
DTXSID0020280	0	O=[N+]([O-])c1ccccc1Cl
DTXSID0020282	0	Nc1ccc(Cl)c(N)c1
DTXSID0020288	0	Cc1cc(Cl)ccc1N.Cl
DTXSID0020153	0	ClCc1ccccc1
DTXSID0020155	0	S=C=NCc1ccccc1
DTXSID0020157	0	Cl.Cl.NNCc1ccccc1
DTXSID0020232	1	Cn1c(=O)c2c(ncn2C)n(C)c1=O
DTXSID0020361	0	[Cl-].[NH3+]C1CCCCC1
DTXSID0020311	0	CN(C)C(=O)Nc1ccc(Cl)cc1
DTXSID0020315	0	O=[N+]([O-])C(Cl)(Cl)Cl
DTXSID0020365	0	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
DTXSID0020363	0	ON=C1CCCC1
DTXSID0020444	0	*C.CCCCCCCOC(=O)COc1ccc(Cl)cc1Cl
DTXSID0020319	1	N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
DTXSID0020448	0	CC(Cl)CCl
DTXSID0020446	0	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
DTXSID0020494	0	COP(C)(=O)OC
DTXSID0020284	1	Nc1ccc(N)c(Cl)c1.O=S(=O)(O)O
DTXSID0020286	0	Cc1ccc(N)cc1Cl
DTXSID0020369	0	CN(C)N=Nc1nc[nH]c1C(N)=O
DTXSID0020442	0	O=C(O)COc1ccc(Cl)cc1Cl
DTXSID0020440	0	CC(Oc1ccc(Cl)cc1Cl)C(=O)O
DTXSID0020367	0	Cl.N[C@@H](CS)C(=O)O
DTXSID0020498	0	COC(=O)c1ccc(C(=O)OC)cc1
DTXSID0020523	1	O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
DTXSID0020527	0	O=NN1CCN(N=O)CC1
DTXSID0020529	0	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
DTXSID0020573	0	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID0020604	0	C1CC2OC2CC1C1CO1
DTXSID0020575	0	C=CCc1ccc(OC)cc1
DTXSID0020577	0	CCc1cc(C(N)=S)ccn1
DTXSID0020602	0	O=C1NCCN1
DTXSID0020606	0	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
DTXSID0020650	0	O=C(O)c1cc(O)c(O)c(O)c1
DTXSID0020652	0	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
DTXSID0020737	0	c1ccc2[nH]ccc2c1
DTXSID0020654	0	CC(=O)OC/C=C(\C)CCC=C(C)C
DTXSID0020656	0	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O
DTXSID0020733	0	CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
DTXSID0020789	0	O.O.O.O.O.O.[Cl-].[Cl-].[Mg+2]
DTXSID0020810	0	S=c1[nH]cnc2[nH]cnc12
DTXSID0020814	0	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
