compound	response	smiles
DTXSID0020076	0	Nc1nc[nH]n1
DTXSID0020105	0	O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O.[Na+]
DTXSID0020022	0	O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
DTXSID0020107	0	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
DTXSID0020311	0	CN(C)C(=O)Nc1ccc(Cl)cc1
DTXSID0020232	0	Cn1c(=O)c2c(ncn2C)n(C)c1=O
DTXSID0020319	1	N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
DTXSID0020446	0	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
DTXSID0020494	0	COP(C)(=O)OC
DTXSID0020151	0	CC(=O)OCc1ccccc1
DTXSID0020286	0	Cc1ccc(N)cc1Cl
DTXSID0020442	0	O=C(O)COc1ccc(Cl)cc1Cl
DTXSID0020498	0	COC(=O)c1ccc(C(=O)OC)cc1
DTXSID0020440	0	CC(Oc1ccc(Cl)cc1Cl)C(=O)O
DTXSID0020523	0	O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
DTXSID0020529	0	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
DTXSID0020573	1	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID0020604	0	C1CC2OC2CC1C1CO1
DTXSID0020606	0	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
DTXSID0020575	0	C=CCc1ccc(OC)cc1
DTXSID0020652	0	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
DTXSID0020654	0	CC(=O)OC/C=C(\C)CCC=C(C)C
DTXSID0020656	0	C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O
DTXSID0020737	0	c1ccc2[nH]ccc2c1
DTXSID0020814	0	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
DTXSID0020941	0	O=N[O-].[Na+]
DTXSID0020943	0	COc1ccc([N+](=O)[O-])cc1N
DTXSID0021123	0	CCC1(c2ccccc2)C(=O)N=C([O-])NC1=O.[Na+]
DTXSID0021094	0	Nc1ccc(Oc2ccc(N)cc2)cc1
DTXSID0021125	1	O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
DTXSID0021206	0	CC(O)CO
DTXSID0021254	0	C=CCc1ccc2c(c1)OCO2
DTXSID0021256	0	O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
DTXSID0021337	0	c1ccc2[nH]c(-c3cscn3)nc2c1
DTXSID0021385	1	O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
DTXSID0021389	0	COP(=O)(OC)C(O)C(Cl)(Cl)Cl
DTXSID0021597	0	CCCCCCC=O
DTXSID0021460	0	C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
DTXSID0021414	1	CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
DTXSID0021464	1	CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2]
DTXSID0021888	0	CCCC(C)=O
DTXSID0021832	0	Cc1ccc(N(C)C)cc1
DTXSID0021834	0	O=[N+]([O-])c1ccc(O)cc1
DTXSID0021965	0	Clc1ccc(Cl)c(Cl)c1
DTXSID0021969	0	COc1cc(C=O)ccc1O
DTXSID0021961	0	O=C(c1ccccc1)c1ccccc1
DTXSID0022014	0	COc1ccc(OC)cc1
DTXSID0022353	1	Oc1ccc(-c2ccccc2)cc1Cl
DTXSID0022018	0	CCOP(=S)(OCC)SCCSCC
DTXSID0022480	0	CCc1cccc(O)c1
DTXSID0022436	0	CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1
DTXSID0022519	0	Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DTXSID0022777	1	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
DTXSID0023113	0	COc1ccccc1O
DTXSID0023296	1	CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
DTXSID0023745	0	O=C[C@H](O)[C@@H](O)[C@H](O)CO
DTXSID0023581	1	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DTXSID0023826	0	CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1
DTXSID0023878	0	c1ccc2cc3ccccc3cc2c1
DTXSID0023901	0	CC(C)N1C(=O)c2ccccc2NS1(=O)=O
DTXSID0023907	0	c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
DTXSID0023951	0	CC1=C(C(=O)Nc2ccccc2)SCCO1
DTXSID0024002	0	CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
DTXSID0024052	0	CC1=C(C)S(=O)(=O)CCS1(=O)=O
DTXSID0024000	0	COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
DTXSID0024266	0	CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1
DTXSID0024216	0	Clc1cccc(C(Cl)(Cl)Cl)n1
DTXSID0024553	0	NC(=O)N=NC(N)=O
DTXSID0025363	0	O=C(O)CO
DTXSID0025101	1	CN(C)c1cccc(O)c1
DTXSID0025234	1	O=C1OC2(c3ccccc31)c1cc(Br)c([O-])c(Br)c1Oc1c2cc(Br)c([O-])c1Br.[Na+].[Na+]
DTXSID0025523	0	Cc1occc(=O)c1O
DTXSID0025816	0	O=C(O)C(=O)O
DTXSID0025864	0	CCOc1ccc(N)cc1
DTXSID0026171	0	*C.c1ccc2[nH]nnc2c1
DTXSID0026258	0	ClCCOP(OCCCl)OCCCl
DTXSID0026880	0	CC(=O)OCCOC(C)=O
DTXSID0026915	0	CCCCCCCCCCCO
DTXSID0026838	0	CCCCCCCCCCCCCC(=O)OC(C)C
DTXSID0026252	0	c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1
DTXSID0027014	0	CCCCCCC(C)O
DTXSID0027191	0	C1=CCC=C1
DTXSID0027195	0	CCCCCCCCCCCCCCCC
DTXSID0026967	0	O=C(OCCOCCOC(=O)c1ccccc1)c1ccccc1
DTXSID0027222	0	CC1=CCC(=C(C)C)CC1
DTXSID0027270	0	CCCCCCCCCCCCCCCO
DTXSID0027640	0	O=C(O)CC(O)C(=O)O
DTXSID0027721	0	CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1
DTXSID0028038	1	CCCCNC(=O)OCC#CI
DTXSID0027983	0	*C.*C.COCCOCCO
DTXSID0027856	0	*C.*C.OCCOCCO
DTXSID0027852	0	*Cl.Cc1ccccc1
DTXSID0029210	0	CCCC[Sn](Cl)(Cl)Cl
DTXSID0029133	0	CC(=O)c1ccc(O)cc1
DTXSID0029761	0	O.O.O=c1[n-]c(=O)n(Cl)c(=O)n1Cl.[Na+]
DTXSID0029262	1	CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
DTXSID0029559	1	O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
DTXSID0032316	0	Cc1cc(O)cc(C)c1Cl
DTXSID0032493	0	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1
DTXSID0032497	0	O=C(O)COc1nc(Cl)c(Cl)cc1Cl
DTXSID0032520	0	CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
DTXSID0032572	1	C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
DTXSID0032578	1	CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC
DTXSID0032601	0	CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1
DTXSID0032605	0	COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1
DTXSID0032651	0	O=C(Nc1ccccc1)Nc1cnns1
DTXSID0032655	1	CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
DTXSID0034192	1	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID0034227	0	CCC(C)OC(=O)N1CCCCC1CCO
DTXSID0034300	0	C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1
DTXSID0034229	0	CCCCCC1CCC(=O)O1
DTXSID0034223	1	CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl
DTXSID0034518	0	CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1
DTXSID0034695	1	S=C([S-])NCCNC(=S)[S-].S=C([S-])NCCNC(=S)[S-].[Mn+2].[Zn+2]
DTXSID0034803	0	COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12
DTXSID0034930	0	CCOP(=O)(SC(C)CC)N1CCSC1=O
DTXSID0034855	0	CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1
DTXSID0035160	0	CC(=O)/C=C/C1C(C)=CCCC1(C)C
DTXSID0035748	1	Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2.[Cl-]
DTXSID0034722	0	Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1
DTXSID0038700	0	COc1cc([N+](=O)[O-])ccc1N
DTXSID0037730	1	O=C(O)c1cc(O)c2ccccc2c1O
DTXSID0038881	0	O=S(=O)([O-])c1ccc(N=Nc2c(O)ccc3ccccc23)cc1.[Na+]
DTXSID0038887	1	O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
DTXSID0039223	0	CNC(=O)ON=CC(C)(C)SC
DTXSID0040701	0	CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
DTXSID0040707	0	CCCCCc1ccc(N)cc1
DTXSID0037495	0	CCNc1nc(N)nc(Cl)n1
DTXSID0041270	0	CC(=O)OCCC(C)CC(C)(C)C
DTXSID0041274	1	O=C1C=CC(=O)N1c1ccccc1
DTXSID0041357	1	CCCCC/C=C\C=C\C(=O)OCC
DTXSID0041141	1	CO[C@@H]1[C@H](OC(=O)NC(=O)CCl)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C(C)C
DTXSID0041484	0	CC/C=C\CCOC(C)=O
DTXSID0041981	0	O=C(O)CF
DTXSID0041567	0	CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)O
DTXSID0042086	1	CCCCCCCCCCCCN1CCCCCC1=O
DTXSID0041646	0	CC1=NN(c2cc(S(=O)(=O)[O-])ccc2Cl)C(=O)C1/N=N/c1ccccc1.[Na+]
DTXSID0042169	0	CCCCCCCCCCCCCOP(=O)(O)O
DTXSID0042038	0	CCCCCCCOC(=O)CCC
DTXSID0042167	0	O=C([O-])c1ccccc1C(=O)O.[K+]
DTXSID0042325	0	CCCc1ccc(OC)cc1
DTXSID0042400	0	CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
DTXSID0042379	0	CO[Si](C)(C)OC
DTXSID0042406	0	COS(=O)(=O)[O-].[Na+]
DTXSID0042454	0	CCCCCCCCCCCCCC(=O)OCC(O)CO
DTXSID0044575	0	O=C(C(Cl)Cl)N1CCOC12CCCCC2
DTXSID0044571	0	CC(C)c1cccc(O)c1
DTXSID0044818	0	CCCCCCC(CO)CCCC
DTXSID0047167	0	CNC(C)=O
DTXSID0047246	1	CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O.CS(=O)(=O)O
DTXSID0047248	0	Cc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1ccncc1)C(=O)N3CC2
DTXSID0047290	1	CSc1ccc(Oc2ccc(S(N)(=O)=O)cc2CN(C)C)cc1C
DTXSID0047292	0	Cl.NCC1(Cc2noc(=O)[nH]2)CCCCC1
DTXSID0047371	1	NCc1cccc(C2CCN(C(=O)c3ccc(C#Cc4ccccc4F)o3)CC2)c1
DTXSID0047375	0	O=C(O)c1ccccc1-n1cc(C(=O)O)c(=O)c2cc(Nc3c(F)cc(F)cc3Cl)c(Cl)cc21
DTXSID0047377	1	CCOC(=O)O[C@H](C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1.Cl
DTXSID0047325	0	Cc1nc(-c2ccc3c(c2)CCN(CCC2CCC(NC(=O)/C=C/c4ccc(F)cc4)CC2)CC3)no1.Cl
DTXSID0047294	0	CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12
DTXSID0047296	0	O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21
DTXSID0047327	0	CCn1nc(Cc2ccccc2)cc1C1CCN(C[C@H]2C[C@H](N(C)[C@@H](C(=O)O)C(C)C)C[C@@H]2c2cccc(F)c2)CC1
DTXSID0047379	1	CCN(Cc1cccnc1)C(=O)c1cccc(Cl)c1[C@]1(C)C(=O)N(Cc2ccc(OC)cc2OC)c2ccc(Cl)cc21.Cl
DTXSID0047535	0	CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(OC(=O)CCC)C(=O)OCCCCCC
DTXSID0047533	0	CCCCCCCCOC(=O)c1ccc(C(=O)OCCCCCCCC)c(C(=O)OCCCCCCCC)c1
DTXSID0047539	0	O=C(OCCCCCCOC(=O)c1ccccc1)c1ccccc1
DTXSID0047537	0	CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC
DTXSID0047456	0	O=C1OC(=O)C2C3C=CC(C3)C12
DTXSID0047741	0	c1ccc2c(c1)sc1ccccc12
DTXSID0047957	1	CCCCCCCCOC(=O)c1ccc(O)cc1
DTXSID0048181	0	CC(C)(C)c1ccc(N)cc1
DTXSID0048185	1	CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl.O
DTXSID0048187	0	CCC(C)(C)C1CCC(OC)CC1
DTXSID0048183	0	O=C1OC[C@H](Cc2cccc(O)c2)[C@H]1Cc1cccc(O)c1
DTXSID0048189	1	CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
DTXSID0048210	0	O=C(Oc1ccccc1)c1ccccc1
DTXSID0048505	1	Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2
DTXSID0048507	0	Cl.Cn1c(=O)cc(Oc2ccc(F)cc2F)c2cnc(NCC(C)(C)O)nc21
DTXSID0048509	0	CCCN(C1CCN(C(=O)C2CCNCC2)CC1)[C@@H]1CCc2ccc(OC)cc2C1
DTXSID1020069	1	Cc1cc(N=Nc2ccccc2C)ccc1N
DTXSID1020194	0	OB(O)O
DTXSID1020140	0	O=C([O-])c1ccccc1.[Na+]
DTXSID1020148	0	ClC(Cl)(Cl)c1ccccc1
DTXSID1020190	0	O=C1C(=C2Nc3ccc(S(=O)(=O)[O-])cc3C2=O)Nc2ccc(S(=O)(=O)[O-])cc21.[Na+].[Na+]
DTXSID1020144	1	O=C(c1ccccc1)C(O)c1ccccc1
DTXSID1020350	0	COc1ccc(C)cc1N
DTXSID1020352	0	O=NN([O-])c1ccccc1.[NH4+]
DTXSID1020221	0	CC(C)(C)c1ccc(O)cc1
DTXSID1020354	0	N#CNC(=N)N
DTXSID1020431	0	Clc1ccc(Cl)cc1
DTXSID1020510	1	Cc1c2ccccc2c(C)c2c1ccc1ccccc12
DTXSID1020512	0	CN(C)C(=O)Cl
DTXSID1020516	0	CN(C)N
DTXSID1020647	0	O=Cc1ccco1
DTXSID1020439	0	Oc1ccc(Cl)cc1Cl
DTXSID1020485	1	COc1cc(-c2ccc(N)c(OC)c2)ccc1N.Cl.Cl
DTXSID1020770	1	O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
DTXSID1020560	1	O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
DTXSID1020699	1	CCCCCCc1ccc(O)cc1O
DTXSID1020805	0	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
DTXSID1020807	0	Sc1nc2ccccc2s1
DTXSID1020855	0	COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
DTXSID1020930	0	CN1CCC[C@H]1c1cccnc1
DTXSID1021031	1	O=Nc1ccc(Nc2ccccc2)cc1
DTXSID1021087	1	O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
DTXSID1020932	0	O=C(O)c1cccnc1
DTXSID1021243	1	CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C.[Cl-]
DTXSID1021160	0	Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
DTXSID1021164	0	C1CNCCN1
DTXSID1021166	0	CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
DTXSID1021322	1	CCN(CC)C(=S)SSC(=S)N(CC)CC
DTXSID1021378	0	O=C(O)C(Cl)(Cl)Cl
DTXSID1021403	0	COP(=O)(OC)OC
DTXSID1021409	1	O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
DTXSID1021455	0	O=C([O-])c1[nH]n(-c2ccc(S(=O)(=O)[O-])cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)[O-])cc1.[Na+].[Na+].[Na+]
DTXSID1021871	0	Oc1ccc(Cl)cc1
DTXSID1021798	0	c1ccc2ncccc2c1
DTXSID1021790	0	O=[N+]([O-])c1ccccc1O
DTXSID1021792	0	O=Cc1ccccc1O
DTXSID1021821	0	CCC(C)=NO
DTXSID1021877	0	OCCCl
DTXSID1021956	0	CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
DTXSID1021952	1	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
DTXSID1022053	1	Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
DTXSID1022055	0	CC(=O)OC(C)(C)C
DTXSID1022396	0	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
DTXSID1022421	0	COc1ccc2[nH]cc(CCNC(C)=O)c2c1
DTXSID1022265	1	CCc1cccc(CC)c1N(COC)C(=O)CCl
DTXSID1022479	0	CCc1ccccc1O
DTXSID1022508	1	CCCCCCCCCCCCc1ccc(O)cc1
DTXSID1022267	0	CNC(=O)ON=C(C)SC
DTXSID1022394	0	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
DTXSID1023235	0	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DTXSID1023869	0	CCNc1nc(NC(C)C)nc(SC)n1
DTXSID1023819	0	Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O
DTXSID1024045	0	CCOS(=O)(=O)OCC
DTXSID1023990	0	CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
DTXSID1023998	0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
DTXSID1024049	0	O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
DTXSID1023996	0	NC1CCCCC1
DTXSID1024091	0	CCCN(CCC)C(=O)SCC
DTXSID1024176	0	C=C(C)C#N
DTXSID1024209	1	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
DTXSID1024097	0	CCCCOCCO
DTXSID1024124	0	COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1
DTXSID1024126	1	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)[C@H]4O[C@H]4[C@@H]3[C@@]1(Cl)C2(Cl)Cl
DTXSID1024255	0	COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
DTXSID1024170	0	C[N+]1(C)CCCCC1.[Cl-]
DTXSID1024259	1	CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
DTXSID1024174	1	CCCCSP(=O)(SCCCC)SCCCC
DTXSID1024338	0	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
DTXSID1024598	0	O=C(OCc1ccccc1)c1ccccc1O
DTXSID1024704	0	Cc1ccc(C(C)(C)C)cc1
