compound	response
DTXSID0020319	0
DTXSID0020442	0
DTXSID0020573	1
DTXSID0020814	0
DTXSID0021256	1
DTXSID0021385	0
DTXSID0021963	0
DTXSID0022018	0
DTXSID0023826	1
DTXSID0024052	0
DTXSID0024266	0
DTXSID0025527	1
DTXSID0028038	0
DTXSID0032493	0
DTXSID0032520	0
DTXSID0032601	0
DTXSID0032572	0
DTXSID0034192	1
DTXSID0039223	0
DTXSID0037495	0
DTXSID0044367	1
DTXSID0047246	0
DTXSID0047290	0
DTXSID0047371	0
DTXSID0047294	0
DTXSID0047296	0
DTXSID0047379	1
DTXSID0047533	0
DTXSID0051570	0
DTXSID0051732	1
DTXSID0051736	0
DTXSID0051944	0
DTXSID0051996	0
DTXSID1020433	1
DTXSID1020510	1
DTXSID1020439	0
DTXSID1020647	0
DTXSID1020560	0
DTXSID1020855	1
DTXSID1020932	0
DTXSID1021166	0
DTXSID1022267	0
DTXSID1023998	0
DTXSID1024091	0
DTXSID1024259	0
DTXSID1025512	0
DTXSID1026081	1
DTXSID1032488	0
DTXSID1032640	0
DTXSID1033664	1
DTXSID1034260	0
DTXSID1038743	0
DTXSID1038298	0
DTXSID1038666	0
DTXSID1040112	0
DTXSID1040742	0
DTXSID1043910	0
DTXSID1044564	0
DTXSID1047285	0
DTXSID1047281	0
DTXSID1047289	0
DTXSID1047316	0
DTXSID1047310	0
DTXSID1047576	0
DTXSID1051690	0
DTXSID1051779	0
DTXSID2020006	1
DTXSID2020426	0
DTXSID2020347	1
DTXSID2020420	0
DTXSID2020686	0
DTXSID2021105	0
DTXSID2021286	0
DTXSID2021151	0
DTXSID2021288	0
DTXSID2021600	0
DTXSID2021781	0
DTXSID2021864	0
DTXSID2021993	0
DTXSID2022333	0
DTXSID2022381	1
DTXSID2022880	1
DTXSID2023567	0
DTXSID2023569	0
DTXSID2024242	0
DTXSID2024163	0
DTXSID2025680	0
DTXSID2027200	0
DTXSID2027204	0
DTXSID2032500	0
DTXSID2032550	0
DTXSID2032398	0
DTXSID2034542	1
DTXSID2040363	1
DTXSID2041759	0
DTXSID2045232	1
DTXSID2047270	0
DTXSID2047272	1
DTXSID2047276	0
DTXSID2047301	0
DTXSID2047303	0
DTXSID2047307	0
DTXSID2047353	0
DTXSID2047309	0
DTXSID3020122	0
DTXSID3020209	0
DTXSID3020336	0
DTXSID3020465	0
DTXSID3020916	0
DTXSID3021643	0
DTXSID3021645	0
DTXSID3022370	1
DTXSID3022536	1
DTXSID3022455	0
DTXSID3023897	0
DTXSID3023845	0
DTXSID3024154	0
DTXSID3024104	0
DTXSID3024239	0
DTXSID3023899	0
DTXSID3024235	0
DTXSID3024780	0
DTXSID3024861	0
DTXSID3025881	0
DTXSID3026302	0
DTXSID3027403	0
DTXSID3029607	0
DTXSID3032464	1
DTXSID3031864	1
DTXSID3032549	0
DTXSID3032628	0
DTXSID3034165	1
DTXSID3036496	1
DTXSID3036525	0
DTXSID3037094	1
DTXSID3042059	1
DTXSID3042219	0
DTXSID3047261	0
DTXSID3047558	0
DTXSID3052511	0
DTXSID3051707	0
DTXSID3051836	0
DTXSID4020371	0
DTXSID4020450	0
DTXSID4020402	0
DTXSID4020791	0
DTXSID4020820	0
DTXSID4020959	0
DTXSID4020822	0
DTXSID4021268	0
DTXSID4021395	0
DTXSID4021478	1
DTXSID4022020	0
DTXSID4021975	0
DTXSID4022361	0
DTXSID4022442	1
DTXSID4022448	0
DTXSID4022529	0
DTXSID4022731	0
DTXSID4022367	1
DTXSID4023541	1
DTXSID4024062	1
DTXSID4024270	0
DTXSID4024276	0
DTXSID4024436	1
DTXSID4025791	0
DTXSID4027367	0
DTXSID4027608	0
DTXSID4027991	0
DTXSID4029145	0
DTXSID4031980	1
DTXSID4032372	0
DTXSID4032580	0
DTXSID4032611	0
DTXSID4032613	1
DTXSID4032667	0
DTXSID4034869	0
DTXSID4034653	0
DTXSID4038346	0
DTXSID4039233	0
DTXSID4040268	0
DTXSID4040002	0
DTXSID4040264	0
DTXSID4044581	0
DTXSID4047335	0
DTXSID4047381	0
DTXSID4047620	0
DTXSID4048513	1
DTXSID4051586	0
DTXSID5020152	0
DTXSID5020154	1
DTXSID5020449	0
DTXSID5020366	1
DTXSID5020607	0
DTXSID5020576	1
DTXSID5020653	0
DTXSID5020819	0
DTXSID5021837	0
DTXSID5021910	0
DTXSID5022271	1
DTXSID5023322	1
DTXSID5023825	0
DTXSID5023950	0
DTXSID5024134	0
DTXSID5024344	0
DTXSID5024394	0
DTXSID5024845	0
DTXSID5025152	0
DTXSID5026918	0
DTXSID5027932	1
DTXSID5032442	0
DTXSID5032365	0
DTXSID5032523	0
DTXSID5032600	0
DTXSID5035957	0
DTXSID5037523	0
DTXSID5040704	1
DTXSID5041306	1
DTXSID5041437	0
DTXSID5041560	0
DTXSID5046801	0
DTXSID5047295	0
DTXSID5047291	0
DTXSID5049073	0
DTXSID6020147	0
DTXSID6020692	0
DTXSID6020690	0
DTXSID6021030	0
DTXSID6021086	0
DTXSID6021248	0
DTXSID6021456	0
DTXSID6022474	1
DTXSID6023864	0
DTXSID6024175	0
DTXSID6024204	0
DTXSID6024177	0
DTXSID6024913	0
DTXSID6024701	0
DTXSID6027050	0
DTXSID6027218	0
DTXSID6027268	0
DTXSID6027923	1
DTXSID6032192	0
DTXSID6032352	0
DTXSID6032514	0
DTXSID6032647	0
DTXSID6032562	0
DTXSID6034186	1
DTXSID6037564	0
DTXSID6037568	0
DTXSID6040747	1
DTXSID6042280	0
DTXSID6047288	0
DTXSID6047286	0
DTXSID6047280	0
DTXSID6047282	0
DTXSID6047284	0
DTXSID6047315	0
DTXSID6048171	0
DTXSID6051778	0
DTXSID6051306	0
DTXSID6051566	0
DTXSID7020182	1
DTXSID7020479	0
DTXSID7020508	0
DTXSID7020920	0
DTXSID7021152	1
DTXSID7021100	1
DTXSID7021780	0
DTXSID7021996	0
DTXSID7022253	0
DTXSID7022174	0
DTXSID7023645	0
DTXSID7024035	0
DTXSID7024245	0
DTXSID7024160	0
DTXSID7024299	0
DTXSID7026156	0
DTXSID7026029	0
DTXSID7034250	1
DTXSID7034545	0
DTXSID7037717	1
DTXSID7047271	1
DTXSID7047279	0
DTXSID7047306	1
DTXSID7047308	0
DTXSID7047433	1
DTXSID7052529	0
DTXSID8020337	1
DTXSID8020620	0
DTXSID8020961	0
DTXSID8022325	1
DTXSID8022292	0
DTXSID8022377	1
DTXSID8022959	1
DTXSID8023632	0
DTXSID8023846	0
DTXSID8024105	0
DTXSID8024109	0
DTXSID8024151	1
DTXSID8024234	0
DTXSID8024315	0
DTXSID8024280	0
DTXSID8024238	1
DTXSID8024523	1
DTXSID8025096	0
DTXSID8026193	0
DTXSID8027323	1
DTXSID8031865	0
DTXSID8033562	0
DTXSID8034956	0
DTXSID8037708	0
DTXSID8037706	1
DTXSID8040145	0
DTXSID8041745	0
DTXSID8047264	0
DTXSID8047266	0
DTXSID8047890	1
DTXSID8051708	0
DTXSID8051914	0
DTXSID8052308	0
DTXSID9020160	0
DTXSID9020112	0
DTXSID9020110	0
DTXSID9020243	0
DTXSID9020247	0
DTXSID9020407	0
DTXSID9020582	1
DTXSID9020663	0
DTXSID9020827	0
DTXSID9020790	0
DTXSID9021217	0
DTXSID9021554	0
DTXSID9022360	1
DTXSID9022364	1
DTXSID9022366	1
DTXSID9022528	0
DTXSID9023380	1
DTXSID9024431	0
DTXSID9024699	0
DTXSID9025453	0
DTXSID9026132	0
DTXSID9026261	1
DTXSID9032329	0
DTXSID9032589	1
DTXSID9034573	0
DTXSID9035204	1
DTXSID9036515	1
DTXSID9036690	0
DTXSID9037616	1
DTXSID9040001	0
DTXSID9042209	0
DTXSID9044370	0
DTXSID9044372	0
DTXSID9047257	0
DTXSID9047259	0
DTXSID9047540	1
DTXSID9047592	1
DTXSID9048510	1
DTXSID9051581	0
