compound	response
DTXSID0020072	1
DTXSID0020573	1
DTXSID0020814	0
DTXSID0021127	1
DTXSID0021460	1
DTXSID0022353	1
DTXSID0022858	0
DTXSID0023373	1
DTXSID0032655	0
DTXSID0034192	0
DTXSID0041987	0
DTXSID0044941	0
DTXSID0044993	0
DTXSID0044995	1
DTXSID0045254	0
DTXSID0045676	0
DTXSID0046309	1
DTXSID0048686	0
DTXSID0057677	0
DTXSID1020433	1
DTXSID1020770	1
DTXSID1020855	1
DTXSID1021299	1
DTXSID1022396	1
DTXSID1022394	1
DTXSID1024259	1
DTXSID1033539	1
DTXSID1033664	0
DTXSID1036541	0
DTXSID1041132	0
DTXSID1044982	1
DTXSID1046970	1
DTXSID1047318	0
DTXSID1047312	1
DTXSID1057824	0
DTXSID2020686	0
DTXSID2020971	1
DTXSID2022381	1
DTXSID2022678	1
DTXSID2022880	1
DTXSID2023276	0
DTXSID2023353	0
DTXSID2024163	0
DTXSID2032558	1
DTXSID2032398	1
DTXSID2041913	1
DTXSID2044719	1
DTXSID2045365	0
DTXSID2045232	1
DTXSID2046094	0
DTXSID2046123	0
DTXSID2046460	0
DTXSID2047357	1
DTXSID2047569	1
DTXSID2049050	1
DTXSID2057730	1
DTXSID3020205	0
DTXSID3020380	0
DTXSID3020629	1
DTXSID3021770	1
DTXSID3022160	1
DTXSID3022320	1
DTXSID3022536	1
DTXSID3022667	0
DTXSID3023502	0
DTXSID3034113	1
DTXSID3037541	1
DTXSID3040770	1
DTXSID3040980	1
DTXSID3041827	0
DTXSID3044128	0
DTXSID3044835	1
DTXSID3044960	0
DTXSID3045306	0
DTXSID3045930	0
DTXSID3047429	0
DTXSID3047843	1
DTXSID3048607	1
DTXSID3048863	0
DTXSID3057690	0
DTXSID3057852	0
DTXSID3057854	1
DTXSID4020248	0
DTXSID4020373	1
DTXSID4020375	1
DTXSID4020379	1
DTXSID4021135	0
DTXSID4021181	1
DTXSID4021185	0
DTXSID4021218	0
DTXSID4021478	0
DTXSID4022361	0
DTXSID4022315	1
DTXSID4022367	1
DTXSID4022999	1
DTXSID4022369	1
DTXSID4023042	1
DTXSID4023094	0
DTXSID4023179	1
DTXSID4024270	1
DTXSID4031980	1
DTXSID4034497	1
DTXSID4038922	1
DTXSID4041600	1
DTXSID4042256	1
DTXSID4045896	0
DTXSID4046024	1
DTXSID4046109	0
DTXSID4047882	0
DTXSID4048690	1
DTXSID4057685	0
DTXSID4057689	1
DTXSID4057631	0
DTXSID5020233	0
DTXSID5020310	0
DTXSID5022857	0
DTXSID5022724	1
DTXSID5023037	1
DTXSID5023370	1
DTXSID5023322	1
DTXSID5023794	0
DTXSID5023669	1
DTXSID5023902	1
DTXSID5024211	1
DTXSID5033836	1
DTXSID5041306	1
DTXSID5040750	0
DTXSID5044520	1
DTXSID5046067	0
DTXSID5046148	0
DTXSID5046853	0
DTXSID5057832	1
DTXSID6020983	1
DTXSID6022391	1
DTXSID6022345	1
DTXSID6022474	0
DTXSID6023024	0
DTXSID6022894	0
DTXSID6032192	1
DTXSID6033538	0
DTXSID6040747	0
DTXSID6040745	1
DTXSID6041684	1
DTXSID6041973	1
DTXSID6042498	1
DTXSID6046553	1
DTXSID6048171	1
DTXSID6048961	1
DTXSID6048919	1
DTXSID6049068	0
DTXSID6057661	0
DTXSID6057823	0
DTXSID7020182	1
DTXSID7020215	0
DTXSID7020631	1
DTXSID7020714	0
DTXSID7020768	1
DTXSID7020970	1
DTXSID7021152	1
DTXSID7021100	1
DTXSID7021316	1
DTXSID7022120	1
DTXSID7022174	1
DTXSID7023061	0
DTXSID7023350	0
DTXSID7023300	0
DTXSID7032004	1
DTXSID7032638	1
DTXSID7034674	1
DTXSID7037262	1
DTXSID7037717	1
DTXSID7040283	1
DTXSID7041544	1
DTXSID7045867	1
DTXSID7046465	0
DTXSID7046889	0
DTXSID7047146	1
DTXSID7057656	0
DTXSID8020040	1
DTXSID8022111	0
DTXSID8022161	0
DTXSID8022406	1
DTXSID8022377	1
DTXSID8022901	0
DTXSID8024523	1
DTXSID8027323	1
DTXSID8029282	1
DTXSID8032548	1
DTXSID8033562	1
DTXSID8033512	0
DTXSID8032675	0
DTXSID8040274	1
DTXSID8042349	1
DTXSID8045642	0
DTXSID8045646	0
DTXSID8047137	0
DTXSID8047264	0
DTXSID8047896	1
DTXSID8048814	0
DTXSID8048812	0
DTXSID8049414	0
DTXSID8057697	1
DTXSID8057857	1
DTXSID9020372	1
DTXSID9020374	1
DTXSID9020453	1
DTXSID9020582	0
DTXSID9020796	0
DTXSID9020827	1
DTXSID9021184	0
DTXSID9021219	0
DTXSID9022364	0
DTXSID9022366	1
DTXSID9023706	0
DTXSID9026261	1
DTXSID9029223	0
DTXSID9032531	1
DTXSID9033923	0
DTXSID9036515	0
DTXSID9044821	1
DTXSID9046104	0
DTXSID9046029	1
DTXSID9046445	1
DTXSID9046992	1
DTXSID9048801	1
DTXSID9048649	0
DTXSID9057840	1
DTXSID9057715	0
