compound	response
DTXSID0032493	0
DTXSID0032601	0
DTXSID1021166	0
DTXSID1025065	1
DTXSID1040372	1
DTXSID2022880	1
DTXSID2029872	1
DTXSID2032390	0
DTXSID2032500	1
DTXSID3020209	0
DTXSID3020625	0
DTXSID3023897	1
DTXSID3024235	0
DTXSID4023202	0
DTXSID4024270	1
DTXSID4040002	0
DTXSID5020607	0
DTXSID5022308	1
DTXSID5023322	0
DTXSID5023900	0
DTXSID6022341	0
DTXSID6024206	0
DTXSID6034186	1
DTXSID7020182	1
DTXSID7020479	0
DTXSID7020970	0
DTXSID7029871	1
DTXSID7029879	1
DTXSID7032004	0
DTXSID8022589	0
DTXSID8024151	1
DTXSID8024315	0
DTXSID8040484	1
DTXSID9020112	0
DTXSID9023706	1
DTXSID9032113	1
