compound	response
DTXSID0020022	0
DTXSID0020446	1
DTXSID0020319	0
DTXSID0020442	0
DTXSID0020573	0
DTXSID0020814	0
DTXSID0020943	0
DTXSID0021094	1
DTXSID0021125	0
DTXSID0021337	0
DTXSID0021385	0
DTXSID0021834	0
DTXSID0021963	0
DTXSID0022012	0
DTXSID0023296	1
DTXSID0023581	0
DTXSID0023826	0
DTXSID0023907	0
DTXSID0023951	0
DTXSID0024052	0
DTXSID0024000	1
DTXSID0024266	1
DTXSID0026252	0
DTXSID0027270	0
DTXSID0027721	1
DTXSID0029262	0
DTXSID0032316	0
DTXSID0032493	1
DTXSID0032601	1
DTXSID0032572	0
DTXSID0032655	0
DTXSID0034192	0
DTXSID0034855	0
DTXSID0034695	0
DTXSID0037495	0
DTXSID0037730	0
DTXSID0038700	0
DTXSID0038338	0
DTXSID0041274	0
DTXSID0042169	0
DTXSID0044571	0
DTXSID0046488	1
DTXSID0047246	0
DTXSID0047248	0
DTXSID0047325	1
DTXSID0047294	0
DTXSID0047296	0
DTXSID0047749	0
DTXSID0048507	0
DTXSID0051447	0
DTXSID0051493	0
DTXSID0051574	0
DTXSID0051732	0
DTXSID0051782	1
DTXSID0051944	0
DTXSID0051996	1
DTXSID1020069	0
DTXSID1020350	0
DTXSID1020221	0
DTXSID1020433	0
DTXSID1020485	0
DTXSID1020510	0
DTXSID1020439	0
DTXSID1020807	1
DTXSID1020855	0
DTXSID1020930	0
DTXSID1021166	0
DTXSID1021322	0
DTXSID1021952	0
DTXSID1022396	0
DTXSID1022421	1
DTXSID1022267	0
DTXSID1022394	1
DTXSID1023817	0
DTXSID1023869	0
DTXSID1023998	0
DTXSID1023990	0
DTXSID1024091	0
DTXSID1024255	0
DTXSID1024259	1
DTXSID1024338	0
DTXSID1024598	0
DTXSID1025485	0
DTXSID1026081	0
DTXSID1026792	0
DTXSID1026900	0
DTXSID1026906	0
DTXSID1032355	0
DTXSID1032511	0
DTXSID1032519	0
DTXSID1032569	0
DTXSID1032640	0
DTXSID1033664	0
DTXSID1032648	0
DTXSID1034181	0
DTXSID1034187	0
